i hög grad (abm)	Den hade i hög grad skötts av motororganisationerna, vilket gjorde att den framstod som enbart en angelägenhet för bilisterna. 
i högre grad (abm)	Man borde i högre grad kunna beslagta bilarna. 
i högre utsträckning (abm)	Andra kännetecken sensationssökarna har är att de i högre utsträckning än andra skiljer sig, eller lever ensamma. 
risig (adjective)	en risig trädgård och en okänd drottning. 
affärsvän (noun)	Mottog aldrig en bjudning av sina många affärsvänner, därför att han inte kunde bjuda igen. 
i knipa (abm)	Ett idiom som exempelvis sitta med skägget i brevlådan betyder att vara i knipa (ha problem). 
afrikan (noun)	Afrikanerna som säger develop med betoning på sista stavelsen måste anstränga sig för att betona den andra i stället. 
riskzon (noun)	I riskzonen finns också par där åldersskillnaden är stor och par som lever i de större städerna. 
afrikansk (adjective)	I de flesta varianter av afrikansk engelska betonar man till exempel sista stavelsen i develop. 
i kör (abm)	De behöver en ursäkt för att umgås, t.ex. sjunga i kör eller gå en kvällskurs i spanska. 
aggression (noun)	Men då undrar jag i mitt stilla sinne: vem får då överta alla aggressioner som vi bär inom oss? 
aggressivitet (noun)	Ofta döljer frågan en viss aggressivitet, en sorts anklagelse mot mig som ibland sägs rent ut. 
aha-upplevelse (noun)	Men en av de starkaste aha-upplevelserna från den resan var också en av de mest självklara. 
rockband (noun)	Sen höjdes tempot när ett svartklätt rockband steg upp på scenen medan rökdimmorna tätnade. 
aktieklipp (noun)	Jag skulle kanske belåna huset och köpa aktier, funderar han vidare och tänker på alla som gör snabba aktieklipp. 
rom (noun)	Romani chib är språket som talas av romer i Europa. 
i regel (abm)	Den genomsnittlige svensken vill i regel att andra ska tala dialekt. 
akupunktör (noun)	Det finns också en akupunktör en dag i veckan. 
romantisera (verb)	Många var födda utomlands eller hade utländska föräldrar, vi spelade basket och romantiserade våra pappors hemländer. 
i samma härad (abm)	Människor föddes, levde och dog i en och samma trakt, ofta i samma härad eller till och med socken. 
romare (noun)	Diana var namnet på romarnas jaktgudinna. 
alan (noun)	Han säger i tur och ordning: alan, monato, laps, nam, toki, sol, oltok, runidam, kotlett. 
alkoholproblem (noun)	Men längre straff är ingen lösning eftersom merparten av gärningsmännen har alkoholproblem. 
alkolås (noun)	Men vid sidan av det är det bara alkolås som fungerar om bilarna ska kunna fortsätta rulla. 
rotvälska (noun)	Vad var det för underlig rotvälska du ropade, gosse? 
rova (noun)	Vi fick börja i sexårsåldern med att gallra rovor och repa nässlor åt hönsen. 
allmänmänsklig (adjective)	Vad vi ser som något allmänmänskligt är uttryck för vår kultur. 
i torsdags (abm)	En man ringde till Dagbladet i torsdags eftermiddag och sa att han hade placerat en bomb på köpcentret. 
i tur och ordning (abm)	Han säger i tur och ordning: alan, monato, laps, nam, toki, sol, oltok, runidam, kotlett. 
i varje fall (abm)	I varje fall var det nog bland smålandsbönder ovanligt att någon visade sina känslor så som Samuel August gjorde. 
rullator (noun)	Jag hämtar rullatorn på vägen ut. 
allt mindre (abm)	Jag tränade och tränade och åt allt mindre. 
rundfråga (noun)	När Andreas och Erika gör rundfrågan på stan blir de vid flera tillfällen erbjudna att köpa majblommor av skolbarn. 
iaktta (verb)	Du tvingas iaktta alla dom små muskeltrådar som arbetat där sedan födseln. 
iakttagelse (noun)	Om dina iakttagelser är skarpa och välfunna så blir din berättelse mer levande och intressant. 
icke-modersmålstalare (noun)	De får vakta sina ord, inte använda talesätt som är okända för icke-modersmålstalare. 
runtomkring (preposition)	små blommor runtomkring dem 
id (noun)	Svar: Mitt ID- kort! 
rusdryck (noun)	Men i en bil och med rusdrycker skvimpandes innanför pannbenet, är det inte längre mitt huvud det handlar om. 
ruska (verb)	Jag ruskar om mig själv. 
alternativ (adjective)	Alternativa sätt att säga nej på kan vara att säga kanske eller jag ska försöka. 
rusning (noun)	Vi är några timmar före den riktiga rusningen. 
ideligen (adverb)	Och i sitt eget: Kärlekslivet trasslar ideligen till sig, men i övrigt blir dagen rolig, sensuell, underhållande. 
amatörteater (noun)	För honom berättar du således ingenting om dina fritidsnöjen, amatörteater, trollkonster och sådant. 
identifiera (verb)	Nu har man lokaliserat några av tunnorna men ännu inte identifierat innehållet. 
identisk (adjective)	I en tid när det kan vara hundra sökande till samma tjänst blir likriktningen med identiska ansökningsformulär snarast negativ. 
ambition (noun)	Ett äktenskap med ambitionen att få ihop kärlek, arbete och föräldraskap är kanske en omöjlighet i dag, resonerar de. 
ambitiös (adjective)	Det här är ett vanligt problem för många ambitiösa utländska studerande. 
idiom (noun)	När du obehindrat kan förstå och använda idiom har du kommit långt i svenska språket. 
amma (noun)	Hon drack kaffe på sängen om morgnarna ; hade till hjälp ammor, två pigor och mormor. 
amma (verb)	Det är i alla fall mamman som har fött dem och som ammar dem. 
ryktesväg (noun)	Hör du ryktesvägen att Notjet inställt betalningarna bör du inte bli panikslagen. 
analys (noun)	Gösta: Vi håller för närvarande på med en analys av marken. 
anamma (verb)	Den sydostasiatiska motsvarigheten till EU, ASEAN, har till exempel anammat engelska som gemensamt språk. 
anapest (noun)	anapest (ti-ti-Ta) Ana pest, para ply daktyl (Ta-ti-ti) sovande troké (Ta-ti) våren 
andlig (adjective)	I Thailand bör främlingar inte klappa barn på huvudet, där sitter den andliga kraften. 
rynka (verb)	Men nu var det någon kund som rynkade på näsan. 
ryska (noun)	Nästan alla hennes böcker finns i översättning till engelska, tyska, franska, ryska, ja till och med japanska och kinesiska. 
andrageneration (noun)	I utkanterna av Stockholm, Malmö, Göteborg och Uppsala växer andragenerationens invandrare upp. 
ryta (verb)	Efter förmiddagsfikan ryter Lotta till: Det är så slappt att inte plocka undan efter sig när man har fikat. 
anföra (verb)	Som belägg för den teorin anför de att hennes högra hand ligger som förlamad ovanpå den vänstra. 
räcka till (vbm)	Läraren säger att innehållet i och för sig är intressant men att språket inte räcker till. 
angelägen (adjective)	Hon säger att de kanske kan korta ner den och redigera om den för det är ett angeläget ämne. 
angelägenhet (noun)	Den hade i hög grad skötts av motororganisationerna, vilket gjorde att den framstod som enbart en angelägenhet för bilisterna. 
ihärdighet (noun)	När människan av naturen producerar den här effekten med sådan ihärdighet tvärsöver tre olika kulturer varenda en av de 
illustration (noun)	Artikeln är på tolv A4-sidor, om man räknar bort illustrationerna i texten. 
räkna upp (vbm)	Man kan räkna upp annat, exempelvis lusten att hävda sig genom själva avståndet, genom att vara borta. 
ilska (noun)	Barnet tjuter, av harm, av ilska, av smärta, men mest av vanära, av förödmjukelse. 
animation (noun)	Försöken att med aptitretande animationer lätta upp omfattande, kompakta textmängder löser heller inte problemet. 
imbecill (adjective)	Jag kände mig så frustrerad när jag såg min pappa tilltalas som om han vore imbecill. 
ankarsmedja (noun)	Familj, du är alla sociala lasters hem, alla bekväma kvinnors försörjningsanstalt, familjeförsörjarens ankarsmedja, och barnens helvete! 
räntehöjning (noun)	Helst bör man också försöka spara lite på banken för oförutsedda utgifter eller en oväntad räntehöjning. 
ränteinbetalning (noun)	Men med allt större lån och stigande ränteinbetalningar riskerar utgifterna att öka med galopperande hastighet. 
imperialism (noun)	På 1800-talet kallades det imperialism och kolonialism. 
anknyta (verb)	Jag är en av stadens taxichaufförer som gärna skulle vilja anknyta till bussförarens insändare häromdagen. 
imperium (noun)	Hans imperium hade svagheter som nu blev tydliga, och det ledde till Kreugerkoncernens sammanbrott och upplösning 1932. 
rät (adjective)	Något som inte ligger i rät vinkel i förhållande till verkligheten. 
improvisation (noun)	Här finns inget utrymme för improvisationer. 
improvisera (verb)	Norrmän improviserar mer än svenskar och är ja, det hävdar Åke Daun lyckligare. 
rätta sig (vbm)	Man rättar sig efter naturens lagar och därför lever man i harmoni med varandra. 
impulsiv (adjective)	Du är ovanligt impulsiv just nu, och dessutom gillar du att träffa folk. 
rättesnöre (noun)	Kyrkospråket blev ett rättesnöre för hur ord skulle stavas och hur verb skulle böjas. 
anmärkningsvärd (adjective)	Det var också anmärkningsvärt att bara 53 % av alla röstberättigade deltog i folkomröstningen. 
rättskänsla (noun)	Om dessa blev ostraffade kände han sig djupt kränkt ; om de belönades i onödan led hans rättskänsla. 
rättslös (adjective)	Om kvinnan var fattig och egendomslös var hon också rättslös. 
inbringa (verb)	All ungdomlig cred jag någonsin känt, inbringat eller byggt, dog. 
inbrytning (noun)	Handlingen kan i båda fallen ändra riktning på grund av en inbrytning någon annanstans ifrån. 
incident (noun)	Kvällen förlöpte utan större incidenter, men familjen var minst sagt dämpad. 
anonymitet (noun)	att komma till anonymiteten och möjligheterna i en storstad. 
råge (noun)	Vi blandar rågen med vatten och salt och gör tunna, hårda bröd, som heter knäckebröd. 
anordning (noun)	De speciella tyska anordningarna som finns runt omkring låter han ingå i språket. 
råvara (noun)	Dyrt är det också med färdiglagat, och det kan aldrig bli lika gott som mat lagad på färska råvaror. 
ansenlig (adjective)	Hon hade därför en ansenlig boksamling. 
rödljus (noun)	De som pratade i mobiltelefon bromsade antingen alldeles för sent innan ett rödljus eller missade rödljuset helt och hållet. 
anslag (noun)	Man diskuterar också minskade anslag till skolmaten. 
rökdimma (noun)	Sen höjdes tempot när ett svartklätt rockband steg upp på scenen medan rökdimmorna tätnade. 
anspråkslös (adjective)	Hundratals år av karga förhållanden har slipat fram ett återhållet, anspråkslöst språk. 
anstalt (noun)	Aino började i gymnasiet, fick jobb på S:t Jörgens mentalsjukhus och bodde i ett litet rum på anstaltens vind. 
infinna sig (vbm)	Miraklen infinner sig, ganska ofta, och det är om dessa mirakel av språklig förståelse som jag vill tala. 
inflyttning (noun)	En ny våg av tysk inflyttning ägde rum under 1500- och 1600-talen och med den en ny tysk ordström. 
anstöt (noun)	Vissa namn som kan väcka anstöt har heller inte gått igenom. 
informationsbroschyr (noun)	Översänder enligt överenskommelse kursplan och informationsbroschyr. 
informationstät (adjective)	Den första ger mycket information och karaktäristiskt för denna typ av informationstäta texter är många, långa substantiv. 
informativ (adjective)	Texten upplevs som lättläst, informativ och ganska personlig. 
informatör (noun)	Refik kommer från Turkiet och jobbar nu på invandrarverket som informatör. 
ansökning (noun)	Här följer några exempel på ansökning om namnbyte som har beviljats: En person som hette Svensson bytte till Comeback. 
ansökningsformulär (noun)	I en tid när det kan vara hundra sökande till samma tjänst blir likriktningen med identiska ansökningsformulär snarast negativ. 
ansökningsskrivande (noun)	Men genom att ställa dig dessa frågor kan du lättare komma igång med ansökningsskrivandet. 
rösträknare (noun)	Formalia (val av ordförande, sekreterare, justerare, rösträknare, godkännande av dagordning) 
antabus (noun)	Antabus, eller annan behandling, kan inte utdömas om inte rattfylleristen själv går med på det. 
röststyrka (noun)	Då kan språkets satsmelodi, betoning och röststyrka också påverka tolkningen av innehållet. 
antingen eller (abm)	Sven Lindqvist är både och, inte antingen eller. 
antingen eller (knm)	Sven Lindqvist är både och, inte antingen eller. 
antropolog (noun)	Gillis Herlitz är antropolog: 
antyda (verb)	Att bilkörning och mobiltelefoner är en dålig kombination har antytts tidigare. 
antydning (noun)	Hon har försökt komma med antydningar, men Andreas har hittills inte brytt sig. 
ingress (noun)	Ingressen som står direkt under rubriken skrivs i allmänhet med större teckenstorlek eller fetstilt. 
sagoprinsessa (noun)	Liksom en sagoprinsessa hade hon rikedom och skönhet. 
inifrån (adverb)	Plötsligt märker jag att han tittar på mig där inifrån. 
app (noun)	Det är med mobilen vi kommunicerar med människor och det finns appar (applikationer) för allt. 
sak samma (abm)	De vet att felet skall straffas, sak samma på vem. 
saklig (adjective)	Det var de övertygades sakliga och välplanerade arbete som banade väg för högertrafiken. 
sakprosa (noun)	Framför allt handlar det om att läsa mycket text av olika slag, sakprosa och skönlitterära texter om vart annat. 
inköpsställe (noun)	Veckotidningarna däremot som visar kläder och bara informerar om inköpsställe och pris tycker jag gör reklam. 
inlemma (verb)	Hela diskussionen om undvikande sätt att säga nej på kan inlemmas i en större diskussion om konfliktundvikande. 
arbetarklass (noun)	På 50-talet skaffade sig arbetarklassen egna telefoner. 
inlägg (noun)	Där kommenterar männen regelbundet 17 av sina vänners inlägg och kvinnorna 26. 
arbetarparti (noun)	socialdemokratiska arbetarpartiet (s) eller socialdemokraterna 
inlärare (noun)	Svordomarna har en speciell grammatik och det är svårt att svära på rätt sätt för en inlärare av svenska. 
inlärningsfas (noun)	Du vinner på att inte forcera svårighetsgraden i dina uppsatser under den här inlärningsfasen. 
sambandscentral (noun)	I dag kan en förälder fortsätta att vara sambandscentral, trots att barnen spritt sig över landet eller jordklotet! 
arbetsbeskrivning (noun)	De till- lämpas vanligen i instruktioner, tjänstebeskrivningar och arbetsbeskrivningar. 
inlärningsprocess (noun)	Frågan är svår att besvara eftersom det är så många faktorer som påverkar inlärningsprocessen. 
sambandsord (noun)	Finns det sambandsord som gör texten lättare att läsa. 
inlärningstakt (noun)	Modersmålet: Ditt eget modersmål påverkar inlärningstakten. 
samboförhållande (noun)	Någon gång i slutet av 60-talet och början av 70-talet föddes den nya samlevnadsformen: samboförhållandet. 
arbetsfördelning (noun)	Det är en arbetsfördelning som har funnits sedan urminnes tider. 
sambolag (noun)	I slutet av 80-talet antogs den första sambolagen som reglerade vad som skulle gälla vid t.ex. separation och dödsfall. 
sambopar (noun)	Ett sambopar kan även vara av samma kön, homosexuella sambor. 
arbetslag (noun)	I den takt som vi växte till fick vi vara med i arbetslaget under skördearbetet, när så behövdes. 
innehav (noun)	Hennes besökare hade givetvis böcker med sig, vilket gjorde att innehavet snart växte till ett stort bibliotek. 
arbetsledare (noun)	En dag när Stefan är sjuk börjar de andra prata om hur han är som arbetsledare och chef. 
samhällsliv (noun)	Integration: Det är till fördel för språkinlärningen om du aktivt deltar i svenskt samhällsliv och inte står utanför. 
arbetslinje (noun)	Men det går givetvis inte att värja sig mot den långt drivna arbetslinjen i Sven Lindqvists resor. 
samhällsproblem (noun)	De osynliga fäderna var ett stort samhällsproblem. 
innehållslig (adjective)	I Nationalencyklopedins ordbok definieras ordet genre som typ av framställning som kännetecknas av viss uppsättning stildrag eller innehållsliga faktorer. 
arbetslunch (noun)	Klockan 11.30 beger vi oss direkt från mötet till Stadshotellets nyöppnade uteservering för en arbetslunch. 
innesluta (verb)	Med språket kan man innesluta eller stöta ut, visa solidaritet eller markera distans. 
inom räckhåll (abm)	Nu gäller det att hålla tummarna för att pojklaget tar hem seriesegern, som redan verkar vara inom räckhåll. 
samlevnadsform (noun)	Någon gång i slutet av 60-talet och början av 70-talet föddes den nya samlevnadsformen: samboförhållandet. 
arbetsstatistik (noun)	En holländare som har hand om arbetsstatistiken står en dag och väntar på honom vid avträdet. 
inom synhåll (abm)	Och visst cyklar jag mot rött ljus när det inte finns en bil inom synhåll. 
arbetstagare (noun)	Arbetsplatsen passar alla arbetstagare oavsett kön, etnisk eller religiös tillhörighet, funktionshinder eller sexuell läggning. 
samlingsparti (noun)	moderata samlingspartiet (m) eller moderaterna 
arbetstakt (noun)	Arbetstakten på jobbet har ökat oroväckande under senare år. 
samlingsregering (noun)	Han var fast besluten att försöka hålla landet utanför kriget och bildade därför en samlingsregering 1939. 
arbetstjänst (noun)	Därifrån går det till chefen för arbetstjänsten. 
sammanbrott (noun)	Hans imperium hade svagheter som nu blev tydliga, och det ledde till Kreugerkoncernens sammanbrott och upplösning 1932. 
inräkna (verb)	• Vi ber dig observera att stolens vikt inräknas i bagaget. 
sammanfattningsvis (adverb)	Sammanfattningsvis tycks Alfred Nobel ha varit en motsägelsefull människa med en mångsidig begåvning. 
insemination (noun)	I Sverige är assisterad befruktning (insemination) tillåtet endast för lesbiska par. 
sammanhållning (noun)	Han fick också tips om gemensamma aktiviteter för att stärka sammanhållningen på en arbetsplats. 
inseminera (verb)	Sedan 2005 har lesbiska par rätt att inseminera via sjukvården. 
sammansmältning (noun)	Jiddisch är ett tusen år gammalt språk och är en sammansmältning av tyska, hebreiska och slaviska språk. 
sammanställa (verb)	Det var naturligtvis inte lätt att hålla reda på folk och sammanställa någon statistik över dessa storfamiljer. 
insikt (noun)	Jag surfar in på min systers sajt, fortfarande lätt darrig av min insikt. 
sammanträffande (noun)	Jag kan börja arbeta direkt och ser fram emot ett sammanträffande där jag får berätta mer om mig själv. 
samröre (noun)	Såvitt vi vet har inte någon grupp erkänt något som helst samröre med hotet. 
samsa (verb)	Man måste visa hänsyn och respektera varandra för att kunna samsas på gator och vägar i staden! 
arkivering (noun)	Arbetsuppgifter: Dagligt kontorsarbete under registrators ledning såsom diarieföring och arkivering av ärenden, telefonservice, posthantering, utskick, visst skrivarbete. 
instifta (verb)	1968 instiftade den svenska riksbanken ett sjätte pris, Riksbankens pris i ekonomisk vetenskap, till Alfred Nobels minne. 
instiftelse (noun)	Härliga, sedliga institution, heliga familj, oantastliga, gudomliga instiftelse, som skall uppfostra medborgare till sanning och dygd! 
armstöd (noun)	• Stol med armstöd 50:- extra avgift. 
samvetsäktenskap (noun)	På den tiden sa man att man levde i samvetsäktenskap. 
sandlådenivå (noun)	De flesta nykomlingarna är svenska sammansatta ord som avspeglar nya begrepp pappa-månad, oljeschejk, ob-ersättning, megastjärna, stringtrosa, sandlådenivå. 
artikelförfattare (noun)	Du kan även variera dig genom att använda ersättningsord som artikelförfattaren, reportern, skribenten o.dyl. Var relativt sparsam med referatmarkörer. 
sanera (verb)	Gösta: Då blir vi tvungna att sanera hela området. 
integration (noun)	Det gav språkforskaren Else Oksaar flera exempel på i sin föreläsning om språk och integration. 
integrationsplan (noun)	Han har genomskådat Integrationsplanen och vill bli Sveriges mäktigaste revolutionsblattefilosof. 
integritet (noun)	Vår stolthet och integritet och skaka av oss misstänksamheten? 
artrikedom (noun)	Ättlingar till dinosaurierna lever nämligen i högsta välmåga mitt ibland oss, och artrikedomen är imponerande. 
sanskrit (noun)	Ordet mus är detsamma både i sanskrit och latin, och andra indoeuropeiska språk har liknande ord. 
interagera (verb)	Det bekanta ligger i sättet vi interagerar. 
interkulturell (adjective)	Han är Sveriges ende doktor i interkulturell kommunikation och arbetar nu som utvecklingsledare på Värdegrundscentrum vid Umeå universitet. 
aska (noun)	Han ska inte brännas till aska, det vore synd på ett sådant huvud. 
askunge (noun)	Det låter som Askungen. 
internetanvändning (noun)	Samtidigt har internetanvändningen ökat markant. 
internetbank (noun)	Niklas sitter och betalar räkningarna på internetbanken. 
assistent (noun)	Plats som assistent (ref.nr 3) 
internetkafé (noun)	John sitter på ett internetkafé och mejlar hem till Kanada. 
interpellera (verb)	I riksdagen pågick en intensiv lobbyverksamhet och riksdagsledamöterna interpellerade och motionerade för högertrafik. 
schimpans (noun)	Störst hjärna har primater som markattor, babianer, schimpanser och människor. 
intim (adjective)	Vänskap kräver uppmärksamhet intima relationer tar tid. 
intim (adverb)	Det är också intimt förknippat med ett visst beteendemönster. 
augustimorgon (noun)	En augustimorgon bär man Straat bort från uppställningsplatsen in i sjukstugan. 
australisk (adjective)	Han har arbetat med tolv australiska språk. 
introduktion (noun)	Vanligtvis börjar första raden med en introduktion, och det första rimordet är ofta ett personnamn eller ortsnamn (här Stöde). 
automatisering (noun)	Automatiseringen innebar att man kunde ringa vilken tid på dygnet som helst, inte bara när telefonisten var i tjänst. 
inträdeskriterium (noun)	Det finns bara ett inträdeskriterium, enligt Martin Gellerstam, redaktör för SAOL. 
invand (adjective)	Hotellrum erbjuder en liknande möjlighet att fly invanda tankebanor. 
invandrarfientlighet (noun)	Jag pratar mycket om invandrarfientlighet och kulturmöten och så. 
sedlig (adjective)	Härliga, sedliga institution, heliga familj, oantastliga, gudomliga instiftelse, som skall uppfostra medborgare till sanning och dygd! 
invandrarkontor (noun)	Men man ringer inte till Subramanjan eller Abdulhak utan man ringer till invandrarkontoret eller ... som har ansvaret. 
invandrarpar (noun)	Det verkar vara invandrarpar med samma nationalitet, alltså de homogena invandrarparen, som utsätts för den största påfrestningen. 
invandrarverk (noun)	Refik kommer från Turkiet och jobbar nu på invandrarverket som informatör. 
invandrarvän (noun)	Mina invandrarvänner går ett steg längre. 
avbön (noun)	Den ogifta modern fick i stället göra enskild avbön hos prästen. 
segla om (vbm)	Du skulle aldrig seglat bort om det ej fanns. 
avfärda (verb)	Det är en förklaring som numera avfärdas som felaktig. 
invänta (verb)	Där inväntade man vidare besked och information om anledningen till utrymningen. 
sekvens (noun)	Ett sätt är att skriva den 2 december 2002, alltså sekvensen dag, månad och år. 
selektiv (adjective)	Varför detta selektiva utplånande? 
iridium (noun)	Iridium påträffas normalt sällan i jordskorpan. 
avlasta (verb)	Mamma avlastas arbetet hemma och med barnen, hon får större handlingsutrymme och valfrihet. 
avläsa (verb)	Bara det allra senaste bildar ett uttryck som går att avläsa. 
avlösa (verb)	En dag i en småbarnspappas liv kan vara ganska hektisk och fylld av uppgifter som avlöser varandra. 
iskall (adjective)	En iskall vinter anlände den franske filosofen René Descartes. 
sensation (noun)	Om stressen och friheten, frustrationen, det outtalade kravet på sensation, och det uttalade. 
sensationssökare (noun)	Ålder och kön är de två faktorer som utmärker sensationssökarna mest. 
avseende (noun)	Jag lever miljövänligt i alla avseenden. 
avsevärd (adverb)	Att skriva referat innebär att du avsevärt förkortar och koncentrerar en text. 
isländska (noun)	Svenska, norska, danska, isländska och färöiska tillhör de germanska språken i den indoeuropeiska språkfamiljen. 
separera (verb)	Vad säger då statistiken mer om de människor som separerar? 
islänning (noun)	Tvärtom har islänningarna drivit en språkpolitik som går ut på att skydda isländskan från internationell påverkan. 
seren (adjective)	Var försiktig med högtidliga, serena kort med texter som Ett varmt farväl, En sista hälsning, Tack för allt. 
avslag (noun)	Men det finns också namnansökningar som får avslag. 
it-bubbla (noun)	Somliga anser att e-lärande blir ett lärande för livet medan andra ser det som ännu en IT-bubbla. 
avslutningsvis (adverb)	Först kommer två långa rader, sen två korta och avslutningsvis en lång igen. 
avstava (verb)	Regel 1: sammansatta ord avstavas helst i ordgränsen, se exempel: 
avstavning (noun)	Kontrollera stavning, avstavning, citat, rubrik, styckemarkering, förkortningar, kommatering m.m. Använd Svenska skrivregler utgivna av Svenska språknämnden. 
avsäga sig (vbm)	Innan hon genomförde religionsbytet var det nödvändigt att abdikera och 1654 avsade hon sig tronen på Uppsala slott. 
sexualdrift (noun)	Han hade inget eget ansvar för sin sexualdrift. 
avtryck (noun)	Mina försök att alltid sätta ett avtryck i texten. 
avträde (noun)	En holländare som har hand om arbetsstatistiken står en dag och väntar på honom vid avträdet. 
shoppingbag (noun)	Lyckligtvis visade det sig att den misstänkta bomben bara var en väckarklocka i en shoppingbag. 
avvakta (verb)	Gösta: Vi får avvakta och se vad utredningen kommer fram till. 
avvika (verb)	Vi vill inte avvika, klarar inte att vara annorlunda. 
sidantal (noun)	Men ditt referat bör i alla händelser utgöra mindre än hälften av originaltextens sidantal. 
babian (noun)	Störst hjärna har primater som markattor, babianer, schimpanser och människor. 
jaktgudinna (noun)	Diana var namnet på romarnas jaktgudinna. 
jamb (noun)	Exempel: jamb (ti-Ta) Vem där? 
backspegel (noun)	Högertrafikanhängarna led alltså ett svidande nederlag och i backspegeln kunde de konstatera att de gjort en väldigt dålig kampanj. 
signatur (noun)	Jag läste nyligen en insändare skriven av signaturen taxichaufför som fick mig att reagera. 
jargong (noun)	Vi tar varandras jargong, lyssnar och avbryter. 
silversnöre (noun)	Bombplanen drar fram över den tyska himlen som silversnören. 
bakkropp (noun)	Möjligen höll de till i strandkanten med den tunga bakkroppen nere i vattnet. 
jiwarlitalare (noun)	Det är bara att blanda och ge, vilket jiwarlitalare också gjorde. 
singelmamma (noun)	Själv tycker hon det är tråkigt att singelmammorna ofta beskrivs som egoistiska och kräsna karriärkvinnor som vill ha allt. 
singular (noun)	Många språk skiljer mellan substantiv i singular och plural en hund, flera hundar. 
jojo men (inm)	Jojo men, så är det. 
joller (noun)	Allt det där spädbarnsspråket som vuxna använder till sina telningar är inte bara fånigt joller. 
balkongblomma (noun)	Och balkongblommorna ska jag gå och köpa tre för en tia. 
sinsemellan (adverb)	Man måste inte bara hålla reda på alla i gruppen utan även på deras relationer sinsemellan. 
bana väg (vbm)	Det var de övertygades sakliga och välplanerade arbete som banade väg för högertrafiken. 
sitta modell (vbm)	Men ingen vet med säkerhet vem som har suttit modell för tavlan. 
jordskorpa (noun)	Iridium påträffas normalt sällan i jordskorpan. 
sittbräda (noun)	Den har ett främre hjulpar som kan svänga och har utrustats med handbroms, varukorg och sittbräda. 
jourläkare (noun)	Samma år utrustades jourläkare i Stockholm med nymodigheten. 
sj-ljud (noun)	I fint språk uttalas sj-ljudet framme i munnen. 
jubel (noun)	Anledningen till jublet är att de precis vunnit Eurovisionsschlagerfestivalen. 
sjukgymnast (noun)	Då har man möjlighet att få behandling av en sjukgymnast eller en massageterapeut. 
bar (adjective)	Birgitta blir tagen på bar gärning när hon snattar i en klädbutik i centrum. 
sjukgymnastik (noun)	Ling delade in gymnastiken i fyra olika kategorier: pedagogisk gymnastik, sjukgymnastik, militärgymnastik och estetisk gymnastik. 
barack (noun)	Han väntar på den fånge som varit längst i baracken och nu är förman. 
sjukstuga (noun)	En augustimorgon bär man Straat bort från uppställningsplatsen in i sjukstugan. 
sjunga på sista versen (vbm)	Att ett litet antal människor talar ett språk behöver inte betyda att det sjunger på sista versen. 
självberöm (noun)	Det är viktigt att bilden av dig blir positiv så var inte för återhållsam med självberömmet. 
