roa (verb)	Vasamuseet, Skansen och roar sig på Gröna Lund eller promenerar på de smala gatorna i Gamla Stan. 
aj (interjection)	A: Aj, då, det var inte bra. 
akademiker (noun)	Manlig akademiker 42 år 176/75 trevligt uts och ordn förh, söker kvinna 30-40 för gemensk. 
rockmusiker (noun)	Ulf Lundell (f 1949) är känd både som romanförfattare, rockmusiker och konstnär. 
i någon mån (abm)	Hon gav sin tomte drag både av den kontinentale Nikolaus och i någon mån den gamle nordiske tomten. 
i onödan (abm)	Samtidigt slukar det bränsle och släpper ut koldioxid helt i onödan. 
romanförfattare (noun)	Ulf Lundell (f 1949) är känd både som romanförfattare, rockmusiker och konstnär. 
i parentes (abm)	Och i parentes var skrivet: av stoft. 
romansk (adjective)	Man kan säga att det uppstod indiska, romanska, slaviska och germanska dialekter av urspråket. 
aktualitet (noun)	P1 är kanalen för kvalificerade nyheter och aktualiteter, information och debatt. 
i regeringsställning (jjm)	Efter en borgerlig regeringsperiod på sex år kom socialdemokraterna tillbaka i regeringsställning 1982. 
romantik (noun)	Under romantiken hade man ansett att litteraturen skulle beskriva det vackra och det sköna. 
i rörelse (jjm)	Nu kan man inte ta muttrar med skruvmejsel, men faderns fantasi var i rörelse och han lät lura sig. 
romantiker (noun)	Jag är en rökfri romantiker med blå ögon, mörkt hår 43 år fr Polen. 
i samma ögonblick (abm)	I samma ögonblick tonas Strålkastarljuset ned och till slut är det bara några vanliga lampor som lyser. 
i samråd (abm)	Samstämmighet och gruppkänsla på jobbet är viktigt och beslut fattas för det mesta i samråd. 
romarrike (noun)	I romarriket fanns böcker som liknade våra, med ihophäftade blad och pärmar. 
i sikte (abm)	Men Kreuger, som sökte utmaningar, hade andra och större mål i sikte. 
alfabet (noun)	Vikingarna förenklade alfabetet och använde bara 16 tecken. 
alfabetisk (adjective)	I en ordbok står orden i alfabetisk ordning. 
ropa upp (vbm)	Då hörde vi en av de kvinnliga expediterna ropa upp ett nummer. 
i sken (jjm)	Det vill säga de trodde att den hade råkat i sken. 
alkoholism (noun)	De flesta svenskar var fattiga, och sjukdomar och alkoholism gjorde livet svårt för många. 
i skymundan (abm)	I Sverige har Jesu födelse kommit i skymundan och de flesta firar julen som en stor familjehögtid. 
alkoholvana (noun)	Stockholm stad har gjort en undersökning om alkoholvanorna hos eleverna i årskurs nio. 
i stort (abm)	De andas och håller i stort samma kroppstemperatur som vanligt. 
rot (noun)	Rötterna går inte att förneka och han är formad av både Sverige och Iran, säger han. 
i strumplästen (abm)	Min far blev förlägen då han satt i strumplästen. 
i stycken (abm)	Är texten indelad i stycken? 
rotting (noun)	Talet hölls med en rotting. 
i stånd (jjm)	Det tog mig många år innan jag var i stånd att förstå hennes sätt. 
allhelgonadag (noun)	Allhelgonadagen infaller den sista lördagen i oktober eller den första lördagen i november. 
i synnerhet (abm)	I synnerhet om det är bara kvinnor. 
rubba (verb)	Fan att hon inte kunde åka till jobbet utan att rutiner rubbades och saker förstördes! 
allmänhet (noun)	Då har de i allmänhet levt ihop några år. 
rufsig (adjective)	binder den kring håret, det gråa och rufsiga, 
i tur (jjm)	Jag hade börjat bli oviss, då jag såg senare anlända kunder få komma i tur före oss. 
allsköns (adjective)	Därefter brukade hon sätta sig på köksbordet och i allsköns ro dricka en stor kopp kaffe med ostsmörgås till. 
rulla upp (vbm)	Papyrusbladen limmades sedan ihop och rullades upp på en pinne till bokrullar. 
i vanliga fall (abm)	Så mycket brukade han inte tala i vanliga fall. 
i väg (abm)	När han och hans kärlek Cecilia drog i väg på den knattrande Lambrettan var de på jakt efter livet. 
runa (noun)	där runor ristats för vår skull 
alltjämt (adverb)	Det händer alltjämt att en fiskare spottar på den maskade kroken, innan han kastar reven i vattnet. 
runalfabet (noun)	Från början hade runalfabetet 24 tecken och det användes i hela norra Europa. 
alltmer (adverb)	Under 1600- och 1700-talet samlades alltmer av central förvaltning och industri till Stockholm. 
i väntan på (ppm)	Att cirkulera länge i väntan på att få landa slukar bränsle. 
i värsta fall (abm)	I värsta fall utvecklas han eller hon till en person som gärna kör över andra. 
alltsammans (prounoun)	Det är bra nätta saker alltsammans som jag har fått, men jag börjar på att bli litet orolig. 
i våras (abm)	hon, som i våras här brann uppå bål. 
runristning (noun)	Stenar med runristningar, runstenar, gjorde man i hela Skandinavien men de var speciellt vanliga i Mellansverige. 
runstav (noun)	på runstavar, vikingarnas kalender. 
i övrigt (abm)	Och i sitt eget: Kärlekslivet trasslar ideligen till sig, men i övrigt blir dagen rolig, sensuell, underhållande. 
allvarsam (adjective)	I Doktor Glas (1905) och Den allvarsamma leken (1912) finns många stämningsbilder från Stockholms gator, parker och krogar. 
iakttagare (noun)	För att bli en skicklig berättare måste du vara en god iakttagare. 
alm (noun)	För att ge plats åt den skulle man vara tvungen att hugga ner en grupp gamla almar. 
alp (noun)	Efter gymnasiet tillbringade jag till exempel en vintersäsong i franska alperna, där jag städade på ett mycket exklusivt hotell. 
rusa (verb)	Med pengarna i en plastpåse rusade han ut och stoppade den första bilen som dok upp. 
altare (noun)	Exempel på latinska och grekiska lånord är kyrka, biskop, djävul, ängel, altare, påsk, skola, lektion, rektor, skriva. 
ide (noun)	Under vintern går björnen i ide, då den sover djupt. 
idealisk (adjective)	Där levde de ett för vikingar idealiskt liv. 
rusningstid (noun)	Har ni förresten tänkt på att bilköerna vid rusningstid då skulle bli mycket kortare? 
rutin (noun)	Fan att hon inte kunde åka till jobbet utan att rutiner rubbades och saker förstördes! 
rycka (verb)	I augusti 1707 ryckte den svenske kungen, den 27-årige Karl XII, in i Ryssland. 
idiomatisk (adjective)	I många idiomatiska uttryck förekommer namn på olika kroppsdelar. 
amerikan (noun)	För en amerikan är vi lika som bär. 
amiral (noun)	alkohol, amiral, kaffe, madrass, saffran, siffra (från arabiska) 
idisslare (noun)	En ko är idisslare och rapar upp metangas. 
ryggrad (noun)	Nämn orden lapplisa eller kronofogde och många får kalla kårar efter ryggraden. 
ana (verb)	Men du anar inte vilka konstiga ursäkter och bortförklaringar man kan få höra. 
rykta (verb)	Hästen ska utfodras och ryktas, stallet ska mockas och alla prylar ska skötas om. 
idrottshall (noun)	idrottshallar är andra exempel på sådant som kommunen själv bestämmer om. 
idrottshjälte (noun)	Zlatan, mannen med guldfoten, har blivit en verkligt stor idrottshjälte. 
analysera (verb)	Vi håller på med att analysera marken för att reda ut om det finns någon verklig anledning till oro. 
idrottsintresse (noun)	Friidrott och fotboll är mina favoritsporter, berättar Jan som växte upp i en familj utan ett särskilt idrottsintresse. 
analytisk (adjective)	Han eller hon är analytisk och lugn, lyssnar noga på den andre och avbryter sällan den som talar. 
rymdfarkost (noun)	I dag har vi bilder på alla planeter utom en tagna på nära håll av olika rymdfarkoster. 
rymdforskningsinstitut (noun)	Studier som man har gjort på amerikanska rymdforskningsinstitutet NASA har kommit fram till samma resultat. 
anda (noun)	Alla håller andan när de läser: 
idrottssammanhang (noun)	I Sverige förekommer detta mest i idrottssammanhang. 
rymdraket (noun)	Det liknar en jättestor rymdraket, är 818 meter högt och har 190 våningar. 
idrottsverksamhet (noun)	Vissa uppgifter är frivilliga, t ex att driva bibliotek, fritidsgårdar för ungdomar och idrottsverksamhet. 
ande (noun)	ande (av verb på a) ; betecknar handling) ett hoppande, ett läsande 
andetag (noun)	Igelkotten tar ett andetag var femte minut. 
rynka på näsan (vbm)	Men nu var det någon kund som rynkade på näsan. 
igelkott (noun)	Emma ger mig en liten igelkott av rött ylle, som är fullsatt med knappnålar i stället för piggar. 
rytmisk (adjective)	Han har ett rytmiskt och smidigt språk och därför har många av hans dikter tonsatts. 
ryttare (noun)	Detta uppnås genom att ryttaren är tydlig, vägleder, ger stöd och uppmuntrar hästen. 
räck (noun)	Gitarrerna som pryder räcket utanför caféet ger bara en föraning. 
anföring (noun)	ibland i stället för talstreck vid direkt anföring: 
anföringstecken (noun)	Anföringstecken eller citattecken ) används 
anglosachsisk (adjective)	I anglosachsiska länder kallas han för Santa Claus. 
rädsla (noun)	Mer rädsla mindre risker! 
angöra (verb)	Bada, landstiga och angöra brygga utom vid strand som tillhör tomtmark. 
illustrera (verb)	Bilden illustrerar också att stora delar av Sverige är täckt av skog. 
rämna (verb)	Smärtfrihetens värld han någon minut levt i hade rämnat för honom. 
immunförsvar (noun)	Även i vårt immunförsvar verkar vitamin D ha ett finger med i spelet. 
anklaga (verb)	År 1851 anklagades han för förfalskning och för att ha försökt förgifta en av sina långivare. 
anklagelse (noun)	De piskade upp stämningen genom sina anklagelser och fick stöd av uppskrämda föräldrar och nitiska präster. 
anknytning (noun)	Ofta har orden religiös eller sexuell anknytning. 
anlägga (verb)	Ett skäl för detta är att man vill anlägga en rabatt på framsidan. 
anlända (verb)	Den moderne tomten anlände till Sverige på 1860-talet, främst genom jultidningar och julkort. 
rätt som det är (abm)	Och rätt som det är, så får du brått 
anmälningsavgift (noun)	Anmälningsavgifterna till cuperna kan vara rätt höga och sedan måste vi köpa matchtröjor och bollar. 
anmärkning (noun)	Och anmärkningen finns där i tre år även om man betalar efter en tid ... 
råd (noun)	Länge sökte han olika läkare som alla gav honom olika råd. 
rådgivare (noun)	Jag måste verkligen skratta åt ett sådant samtal, sa rådgivaren. 
annonsör (noun)	Hur som helst hittar reklambyråerna och annonsörerna alltid sätt att gå runt bestämmelser och lagar. 
indelning (noun)	Den gamla indelningen i landskap har i dag bara kulturell och geografisk betydelse. 
rådlös (adjective)	Men alla var rådlösa tills den kloke Heimdal sa: 
indianspråk (noun)	Amerikanska indianspråk: cree (Canada) ; navajo, apache, sioux ; maya, nahuatl (aztekiska), quechua (inka). 
indier (noun)	Många indier gör nu sin första flygresa. 
anonym (adverb)	1828 debuterade hon anonymt med en samling berättelser, Teckningar utur hvardagslifvet, som snabbt blev mycket populära. 
rådsherre (noun)	De rådsherrar som inte skötte sina uppgifter kunde v avsättas av riksdagen. 
anpassa (verb)	Vi anpassar samhället efter bilen. 
anpassa sig (vbm)	Eftersom både tyskan och svenskan är germanska språk, gick det ganska lätt för svenskan att anpassa sig. 
individuell (adjective)	Hur mycket sömn man behöver för att må bra är väldigt individuellt. 
indoeuropé (noun)	Indoeuropéerna bodde ursprungligen norr om Svarta havet. 
indonesisk (adjective)	Claes har gått tre kurser i matlagning: en fransk, en italiensk och en indonesisk. 
anseende (noun)	Varför tar hon risken att förlora anseende, familj och jobb för att stjäla något som hon egentligen kan köpa? 
rö (noun)	Sömnforskningen kommer ständigt med nya rön. 
ansiktsförlamning (noun)	Han var den förste som kunde ställa diagnos om t.ex. hjärnhinneinflammation och ansiktsförlamning. 
industrination (noun)	Under 1900-talet förvandlades Sverige från ett jordbruksland till en modern industrination. 
ansiktslyftning (noun)	Hon har gjort flera ansiktslyftningar, näsoperation, bröstimplantat, fettsugning, förstorade läppar m.m. 
industriområde (noun)	Arlanda stad skulle bli en arbetsstad, inte ett vanligt industriområde. 
industrisamhälle (noun)	I slutet av 1800-talet började Sverige utvecklas till ett modernt industrisamhälle och det stora föregångslandet var England. 
industritomt (noun)	Kommunen planerar ett nytt bostadsområde med hyresrätter, bostadsrätter och villor på den gamla industritomten Dalängen norr om Pileån. 
infalla (verb)	Påskdagen är första söndagen efter den fullmåne som infaller på eller närmast efter 21 mars. 
anspråk (noun)	Vad bör du lämna för anspråk? 
infernokris (noun)	Denna så kallade infernokris har han beskrivit i boken Inferno (1897). 
anstränga (verb)	Det är lätt hänt att man anstränger sig för mycket och därför får skador. 
rön (noun)	De nya rönen har gjort att många företag försöker underlätta för de anställda att ta en tupplur på jobbet. 
inflygning (noun)	Inflygningen kan dessutom snabbas på om flygledningen snabbt ger order om vilken landningsbana piloten ska använda sig av. 
informationskanal (noun)	Vad de stora grupperna däremot erbjuder är bra informationskanaler, bredare än i det vanliga livet, säger Robin Dunbar. 
ansvarskänsla (noun)	Det krävs både ansvarskänsla och flit för att ta hand om en häst. 
informell (adjective)	Korta, informella meddelanden bör innehålla: 
ansökningsbrev (noun)	Ansökningsbrevet ska vara välstrukturerat och lättöverskådligt. 
röstning (noun)	Vi brukar ha en ganska komplicerad röstning där vi röstar på låtarna både före, under och efter finalen. 
röva (verb)	Under resorna bedrev de handel, men ibland rövade och plundrade de också. 
röva bort (vbm)	I Blåkulla döptes de bortrövade barnen av djävulen själv. 
sabba (verb)	Man kan stympa (hugga av) ord så att bibliotek blir bibbla och sabotera blir sabba. 
sabotera (verb)	Man kan stympa (hugga av) ord så att bibliotek blir bibbla och sabotera blir sabba. 
antikvariat (noun)	Det var en tjock och märkligt humoristisk bok på vers, han hade hittat den i ett antikvariat. 
ingenstans (adverb)	Tor letade överallt, men den fanns ingenstans. 
ingrepp (noun)	Det var ju trots allt ett radikalt ingrepp i människors vana. 
saffransbulle (noun)	Kakor och saffransbullar och godis fortsätter man att frossa i hela julperioden. 
ingripa (verb)	Vi mobbade skolkompisar som lät bli att ingripa när deras systrar var ute på kvällarna och umgicks med män. 
saftkräm (noun)	Saftkräm och mjölk var en vanlig efterrätt. 
sagobok (noun)	Jag sliter opp papperet med våldsam fart, och jag ser framför mig den allra vackraste lilla bok, en sagobok. 
apelsinjuice (noun)	Vi ska äta på McDonalds, och vet du Ellen har hällt apelsinjuice på Pongo och valptjuvarna. 
sagolik (adjective)	Nu börjar ABBA:s sex år långa sagolika internationella karriär med turnéer över hela världen. 
sajt (noun)	Jag har satellittelefon och e-mailcentral uppbyggd med solceller för att kunna lägga in mina rapporter på min sajt, 
inkast (noun)	Men jag antecknar inte inkasten i fotboll, det är att gå för långt, menar Jan. 
saker och ting (pnm)	I butikerna fanns det annars oftast prislappar så man visste vad saker och ting kostade. 
applikation (noun)	Hon försvinner in i den beiga applikationen på väggen. 
inkomstskatt (noun)	Du betalar skatt till staten (statsskatt) genom inkomstskatt, moms och olika avgifter. 
sal (noun)	Stämningen i den stora runda salen var ofta egendomligt dyster, han kunde inte begripa varför. 
inköp (noun)	Det är min fru som står för inköpen hos oss. 
salighet (noun)	Jag såg hur något av himmelsk salighet spred sig ända upp till min fars ansikte. 
arabiska (noun)	alkohol, amiral, kaffe, madrass, saffran, siffra (från arabiska) 
inledningsord (noun)	På tjugokronorssedeln (tjugan) finns en bild av Selma Lagerlöf och inledningsorden till Gösta Berlings saga. 
arbetarhem (noun)	Hushållsmaskinerna kostade mer än vad de flesta arbetarhem och bondehem hade råd med. 
inlärning (noun)	Djupsömn och rem-sömn är också mycket viktiga för inlärning och minne. 
arbetsförmåga (noun)	Enligt den studien kan en 26 minuters tupplur öka arbetsförmågan med 34 procent. 
arbetsgemenskap (noun)	I bondesamhället var äktenskapet i första hand en arbetsgemenskap. 
samedräkt (noun)	Bilden visar Linné klädd i en samedräkt från Lappland, landskapet längst i norr. 
inne (pl)	Det är lika bra att vi stannar inne i dag. 
arbetskraft (noun)	Dit rövar de människor som de använder som arbetskraft. 
innebörd (noun)	Samma gest uppfattas i andra kulturer som en grov förolämpning med sexuell innebörd. 
arbetskraftsinvandring (noun)	Under 1970-talet upphörde nästan arbetskraftsinvandringen, eftersom det började bli ont om jobb. 
inneha (verb)	Inom det privata näringslivet har man undersökt varför en så stor majoritet av chefsjobben innehas av män. 
samhällsplanering (noun)	Länsstyrelsen ansvarar bl a för samhällsplaneringen, miljö- och naturskyddsfrågor, civilförsvaret, vissa socialvårdfrågor m m. 
arbetsliv (noun)	Även vi män måste våga satsa några månader av vårt arbetsliv på att stanna hemma hos våra barn. 
arbetslivserfarenhet (noun)	Då är det bättre att ha arbetslivserfarenhet. 
innerst inne (abm)	Innerst inne trodde hon nog inte att någon tavla skulle hitta hem till henne i mellersta Norrland. 
samhällsvetenskaplig (adjective)	Hon gick ut det samhällsvetenskapliga programmet på Hagaskolan i juni 2003. 
innerstad (noun)	Enligt undersökningen dricker ungdomar från de rika och fina s förorterna och från innerstan mest. 
arbetsmaskin (noun)	Det kommer från lastbilar, bussar, arbetsmaskiner, bilar och motorcyklar. 
arbetspass (noun)	Allt som behövs för att koppla av efter ett arbetspass finns här schack, kaffe, mikrovågsugn och tv. 
samla sig (vbm)	Då samlar alla muskeltrådarna ihop sig och arbetar för ett gemensamt och begripligt uttryck. 
arbetsrum (noun)	Jag står utanför kommunalrådet Viveca Lindströms arbetsrum. 
samlare (noun)	Vi människor var ju samlare från början och vi vill gärna ha och sedan vill vi ha mer. 
inom kort (abm)	inom kort skall allting tagas från mig. 
arbetssituation (noun)	Vi arbetar med hela människan och då får man titta på hennes miljö, arbetssituation, dagliga vanor, familjetyp ja allt. 
arbetsstad (noun)	Arlanda stad skulle bli en arbetsstad, inte ett vanligt industriområde. 
samlingslokal (noun)	PLATS: Samlingslokalen, Tallvägen 8 
inre (adjective)	Den hör till de fyra inre planeterna: Merkurius, Venus, Jorden (Tellus) och Mars. 
samman (pl)	Ofta ägs de av utländska investerare eller så har flera företag gått samman. 
sammanboende (noun)	Denna typ av sammanboende kallades Stockholmsäktenskap. 
arbetsverksam (adjective)	Siffrorna för andelen arbetsverksamma kvinnor med chefsjobb är ännu dystrare. 
sammanfattning (noun)	Inledningen ska väcka intresse hos läsaren och avslutningen ska fungera som en sammanfattning. 
arena (noun)	Sätt dig i bilen och åk till arenan, eller ska jag köra? 
inrätta (verb)	År 1739 inrättades Vetenskapsakademien av Linné och några andra forskare. 
insats (noun)	För miljön, men med livet som insats ... 
sammanföra (verb)	Den här festen sammanfördes av de kristna prästerna med julen och firandet av Jesu födelse. 
sammanhänga (verb)	De ständiga sprängningsolyckorna sammanhängde med nitroglycerinets flytande konsistens. 
argumentation (noun)	Därför är det viktigt att vi noga undersöker det som sägs och hur argumentationen sker. 
insida (noun)	Kartan på omslagets insida visar var landskapen ligger. 
ark (noun)	när han gick ur arken 
sammansättning (noun)	Det är också vanligt med sammansättningar, t ex Almgren, Lindgren, Ekstam, Ekblad, Asklöv, Lindkvist och Hägglöf. 
inskrift (noun)	Det språket finns inte kvar och inga inskrifter på det är bevarade. 
samordna (verb)	Men först måste många små lokala kontrollstationer i olika länder samordnas till större flygledningssystem. 
arkiv (noun)	I hans arkiv finns utkast till både socialreformatoriska romaner och känsliga poesiförsök. 
inslag (noun)	De uttryck för dödslängtan och misströstan som finns i dikten Inte ens är andra typiska inslag hos Ferlin. 
arkivera (verb)	Men gäller det mera komplicerade problem är det bättre att skriva, eftersom brev arkiveras. 
samstämmighet (noun)	Samstämmighet och gruppkänsla på jobbet är viktigt och beslut fattas för det mesta i samråd. 
samtalspartner (noun)	Låt din samtalspartner tala till punkt. 
armbåge (noun)	Böj armen i 90 graders vinkel, håll armbågen låst och pendla med armarna medan du går. 
institution (noun)	Från mitten av 1900-talet har fikarasten som en gemensam paus varit en institution på kontoren. 
samtycka (verb)	samtycka tycka samma sak 
samvaro (noun)	Risken finns att en person som undviker samvaron med sina kolleger under fikarasten betraktas med viss misstänksamhet. 
inställsam (adjective)	Och han blev inställsam, bar sig 
insulin (noun)	Man har också sett att vitamin D har betydelse för produktionen av insulin, som reglerar blodsockret. 
intellekt (noun)	Söderberg är en pessimistisk författare, men han har också en fin humor och ett klart intellekt. 
sannerligen (adverb)	Och tidningarna är sannerligen inte till stor hjälp. 
sannolik (adjective)	Den där specificeringen av gränden gjorde saken sannolik. 
arvord (noun)	Exempel på arvord är moder, fader, broder, syster, mun, öra, finger, ko, kalv, ett, två, tre. 
sannolikhet (noun)	Sannolikheten är stor att denna person återfinns i ett slutet nätverk. 
arvtagare (noun)	Den moderne är en kristen invandrare, en arvtagare till det givmilda helgonet Sankt Nikolaus. 
as (noun)	De första vikingarna var inte kristna utan trodde på många olika gudar, som de kallade asar. 
en: helvete, fan, satan, djävulen, jävlar. 
satellit (noun)	Den är en satellit, dvs en följeslagare till en planet. 
asagud (noun)	Men människorna i Norden höll fast vid sin tro på Oden, Tor, Frej och de andra asagudarna. 
satellitnavigering (noun)	Datormusen, färggrafiken i datorer och datalänkad satellitnavigering är alla svenska uppfinningar. 
asfalt (noun)	Om sitt eget liv har han skrivit i böckerna Pubertet (1977), Asfalt (1978), Tröskeln (1982) och Frihet (1985). 
satellittelefon (noun)	Jag har satellittelefon och e-mailcentral uppbyggd med solceller för att kunna lägga in mina rapporter på min sajt, 
asiatisk (adjective)	Att uttrycka sig ödmjukt och indirekt kan löna sig i många asiatiska länder. 
sats (noun)	innebär att man sätter komma mellan satser som man vill skilja åt: 
satsmelodi (noun)	Om du lär dig att använda rätt satsmelodi blir det lättare för andra att förstå vad du säger. 
scanner (noun)	I dag har många engelska lånord med datorvärlden att göra, som datasupport, scanner, printer, mejla (svensk stavning). 
assyrisk (adjective)	Semitisk-hamitiska: arabiska, hebreiska, assyriska, koptiska ; hau- sa, ett viktigt övernationellt kommunikationsspråk i Västafrika 
schackrutig (adjective)	Golvet är schackrutigt, bord och stolar har blänkande krom och röda dynor. 
ateist (noun)	Men bara en av tio är helt och hållet ateist. 
intervjusituation (noun)	Be gärna en kompis att öva med dig ifall du inte är så van vid intervjusituationer. 
intill (preposition)	Så kom och håll mej tätt intill dej 
intill (adverb)	Se mera i texten intill. 
mer värde för Anna-Pia. 
intonation (noun)	När du övar uttal är det särskilt viktigt att träna på språkmelodin (rytmen och intonationen). 
se efter (vbm)	Far bara såg efter att semaforen stod rätt, han tänkte på allt. 
auktoritet (noun)	En kvinna som dessutom har uniform och auktoritet. 
se fram (vbm)	Jan ser fram mot två veckor fulla av aktiviteter på tv-rutan. 
se för sig (vbm)	Jo, nu såg han faderns verktygslåda för sig: 
se mellan fingrarna (vbm)	Kunde de exempelvis inte se mellan fingrarna då någon kommer springande fem minuter försenad till sin parkerade bil? 
intryck (noun)	Sina intryck från resan har hon skildrat i Hemmen i Nya världen (1853). 
se ner (vbm)	Han såg ner i marken och sa tyst: 
inträda (verb)	Här syntes något nytt ha inträtt i makarnas liv. 
automobil (noun)	Det var förmodligen hennes syfte med resan och publicitet var precis vad Benz och hans automobiler behövde. 
se upp (vbm)	Se upp med särskrivningar av sammansatta ord skol matsal i stället för skolmatsal o.d. 
inunder (preposition)	Ett hade en lysmask inunder sig. 
av ondo (abm)	Jordens tillgångar, inte minst oljan, börjar ju att ta slut och allt onödigt slöseri är av ondo. 
invandrarandel (noun)	Få länder har högre invandrarandel än Sverige. 
av sig själv (abm)	Adam hade hunnit stjäla för hundratusentals kronor och kände inte längre igen bilden av sig själv. 
invandrargrupp (noun)	Men många stora invandrargrupper har saknat ordböcker. 
avbetalning (noun)	Kan jag få ta tv:n och videon på avbetalning? 
invandrarland (noun)	Tyskland är också ett stort invandrarland men producerar inte statistik över utrikes födda. 
segel (noun)	Man använde både segel och åror för att ge skeppet fart. 
avbilda (verb)	Pluto har än så länge bara avbildats på långt håll. 
avbrott (noun)	Socialdemokraterna satt vid makten utan avbrott från år 1932 till år 1976. 
invandrarspråk (noun)	Svenska staten har därför låtit göra en serie ordböcker och ordlistor från svenska till ett antal vanliga invandrarspråk. 
avdelningschef (noun)	Avdelningschefen bestämmer sig för att det är dags att omedelbart ha ett möte och diskutera trivselfrågor. 
avdelningssköterska (noun)	Avdelningssköterskan sa så här till mig: Skulle du vilja ge patienten i rum 8 den här sprutan? 
inverkan (noun)	Exempel på mänsklig inverkan är förbränning av fossila ämnen som olja, kol och naturgas. 
avdrag (noun)	Ni godkänner inte mitt avdrag för bilresor mellan hemmet och arbetsplatsen i Norrby. 
avfall (noun)	Bostäder och lokaler står för 7 procent och 3 procent kommer från avfall. 
segra (verb)	Det tog många hundra år innan den kristna religionen segrade. 
avfolkningsbygd (noun)	Kommuner i avfolkningsbygder, t ex Bjurholm och Berg, har mycket låg andel barn med utländsk bakgrund. 
invid (preposition)	Strax före Lindö tunnel på Lovön väster om Stockholm går tre älgar alldeles invid vägen. 
avfyra (verb)	Sjöfarare jorden runt vägleds avfyrar. 
avfärd (noun)	Den fysiska träningen börjar ca ett halvår innan avfärd. 
sekelskifte (noun)	Den s k flanörlitteraturen var en viktig strömning vid sekelskiftet och Söderberg sågs som den främste av dessa författare. 
sekin (noun)	Rönnerdahl har sorger och ont om sekiner. 
