sjunde, numeral	sjunde	<ul><li>seventh</li></ul>			numeral		Sidan 82	Kapitel_8 Rivstart_A1_A2
sjutton, numeral	sjutton	<ul><li>seventeen</li></ul>			numeral		Sidan 64	Kapitel_6 Rivstart_A1_A2
sjätte, numeral	sjätte	<ul><li>sixth</li></ul>			numeral		Sidan 82	Kapitel_8 Rivstart_A1_A2
tia, noun	tia	<ul><li>tenth, ten</li><li>10-kronor coin</li></ul>			noun	en	Sidan 94	Kapitel_9 Rivstart_A1_A2
tionde, numeral	tionde	<ul><li>tenth</li><li>ordinal 10</li></ul>			numeral		Sidan 82	Kapitel_8 Rivstart_A1_A2
tre, numeral	tre	<ul><li>three</li></ul>			numeral		Sidan 15	Kapitel_1 Rivstart_A1_A2
tredje, numeral	tredje	<ul><li>third</li></ul>			numeral		Sidan 42	Kapitel_4 Rivstart_A1_A2
tusen, numeral	tusen	<ul><li>thousand</li></ul>			numeral		Sidan 66	Kaptiel_7 Rivstart_A1_A2
två, numeral	två	<ul><li>two</li></ul>			numeral		Sidan 14	Kapitel_1 Rivstart_A1_A2
åtta, noun	åtta	<ul><li>eight</li></ul>			noun	en	Sidan 94	Kapitel_9 Rivstart_A1_A2
åtta, numeral	åtta	<ul><li>eight</li></ul>			numeral		Sidan 94	Kapitel_9 Rivstart_A1_A2
åttonde, numeral	åttonde	<ul><li>eighth</li></ul>			numeral		Sidan 82	Kapitel_8 Rivstart_A1_A2
och, conjunction	och	<ul><li>and</li></ul>	pojkar och flickor	boys and girls	conjunction		Sidan 08	Kapitel_1 Rivstart_A1_A2
vara, verb	vara	<ul><li>last</li><li>am/are/is</li><li>go on, continue</li></ul>	strejken varade (i) tio dagar	the strike lasted ten days	verb	att	Sidan 09	Kapitel_1 Rivstart_A1_A2
vara, noun	vara	<ul><li></li><li>goods, commodity</li></ul>			noun	en	Sidan 09	Kapitel_1 Rivstart_A1_A2
i, preposition	i	<ul><li>in; on (denotes location in space)</li><li>at, in, for</li><li>to (used when indicating the time of day)</li><li>for, at</li><li>as</li><li>of</li><li>in (used in phrases)</li></ul>	åka i bilen	take the car	preposition		Sidan 09	Kapitel_1 Rivstart_A1_A2
ha, verb	ha	<ul><li>have</li><li>have, possess; be provided with</li></ul>	hon har gjort det	she&#39;s done it	verb	att	Sidan 09	Kapitel_1 Rivstart_A1_A2
det, prounoun	det	<ul><li>it</li><li>it, he, she</li><li>that</li></ul>	det var jag som gjorde det	it was I who did it	prounoun		Sidan 09	Kapitel_1 Rivstart_A1_A2
en, prounoun	en	<ul><li>one</li></ul>	det förargar en att höra sådant	it annoys one to hear that sort of thing	prounoun		Sidan 14	Kapitel_1 Rivstart_A1_A2
som, prounoun	som	<ul><li>who, whom</li></ul>	pojken som gick förbi är min bror	the boy who walked past is my brother	prounoun		Sidan 17	Kapitel_1 Rivstart_A1_A2
som, conjunction	som	<ul><li>as (also in comparisons)</li></ul>	arbeta som guide	work as a guide	conjunction		Sidan 17	Kapitel_1 Rivstart_A1_A2
på, preposition	på	<ul><li>on (expresses position)</li><li>in, during</li><li>of, at</li><li>after</li><li>in</li></ul>	på Gotland	on (the island of) Gotland	preposition		Sidan 09	Kapitel_1 Rivstart_A1_A2
för, preposition	för	<ul><li>to (denotes intention or purpose)</li><li>for (denotes reason)</li><li>of, for</li><li>of (denotes context)</li><li>by</li><li>for</li><li>for (in some phrases)</li></ul>	arbeta för fred	work for peace	preposition		Sidan 10	Kapitel_1 Rivstart_A1_A2
för, adverb	för	<ul><li>too</li><li>in front of (denotes the position &quot;before&quot;)</li></ul>	för snål	too mean	adverb		Sidan 10	Kapitel_1 Rivstart_A1_A2
för, conjunction	för	<ul><li>because</li></ul>	skynda dig nu, för klockan är mycket!	hurry up now, because it is late!	conjunction		Sidan 10	Kapitel_1 Rivstart_A1_A2
kunna, verb	kunna	<ul><li>can, know</li><li>can</li><li>can (indicates possible outcome, guess, etc.)</li></ul>	jag kunde inte läxan	I hadn&#39;t done my homework	verb	att	Sidan 08	Kapitel_1 Rivstart_A1_A2
skola, verb	skola	<ul><li>train, teach</li><li>shall, will</li><li>have to, shall, must</li></ul>	han skolades om till snickare	he was retrained as a carpenter	verb		Sidan 32	Kapitel_3 Rivstart_A1_A2
skola, noun	skola	<ul><li>school (also used of the education given at school)</li><li>school, college</li><li>school [of art]</li></ul>	skolan börjar klockan åtta	school begins at eight	noun	en	Sidan 32	Kapitel_3 Rivstart_A1_A2
jag, prounoun	jag	<ul><li>i (indicates the speaker or writer (first person))</li></ul>	vill du skicka mig smöret!	please pass the butter!	prounoun		Sidan 09	Kapitel_1 Rivstart_A1_A2
jag, noun	jag	<ul><li>ego</li></ul>	det egna jaget	one&#39;s true nature	noun		Sidan 09	Kapitel_1 Rivstart_A1_A2
inte, adverb	inte	<ul><li>not</li></ul>	inte heller	[not] either	adverb		Sidan 09	Kapitel_1 Rivstart_A1_A2
med, preposition	med	<ul><li>with</li><li>for, about</li><li>with (in idiomatic expressions)</li></ul>	pannkakor med sylt	pancakes and jam	preposition		Sidan 12	Kapitel_1 Rivstart_A1_A2
med, adverb	med	<ul><li>with</li><li>too (informal)</li></ul>	sjunga med	sing along	adverb		Sidan 12	Kapitel_1 Rivstart_A1_A2
till, preposition	till	<ul><li>into, until, to</li><li>of, for, as</li><li>of, to</li></ul>	översätta till svenska	translate into Swedish	preposition		Sidan 13	Kapitel_1 Rivstart_A1_A2
till, adverb	till	<ul><li>another, more</li><li></li></ul>	ta en kaka till!	have another biscuit!	adverb		Sidan 13	Kapitel_1 Rivstart_A1_A2
liten, adjective	liten	<ul><li>small</li><li>short</li></ul>	ett litet antal	a small amount	adjective		Sidan 31	Kapitel_3 Rivstart_A1_A2
den, prounoun	den	<ul><li>it, he, she</li><li>that</li></ul>	Var är boken? -- Den är här	Where is the book? It is here	prounoun		Sidan 11	Kapitel_1 Rivstart_A1_A2
om, preposition	om	<ul><li>round (spatial)</li><li>by (temporal)</li><li>about, of</li><li>of</li></ul>	en halsduk om halsen	a scarf round one&#39;s neck	preposition		Sidan 11	Kapitel_1 Rivstart_A1_A2
vi, prounoun	vi	<ul><li>we</li></ul>	han har sett oss	he has seen us	prounoun		Sidan 11	Kapitel_1 Rivstart_A1_A2
men, conjunction	men	<ul><li>but (indicates objection or restriction)</li></ul>	efter många om och men	after much beating about the bush	conjunction		Sidan 14	Kapitel_1 Rivstart_A1_A2
man, prounoun	man	<ul><li>one (indicates the indefinite)</li></ul>	om man så vill	if you like	prounoun		Sidan 14	Kapitel_1 Rivstart_A1_A2
man, noun	man	<ul><li>man</li><li>person (especially used of troops, teams, etc.)</li><li>husband</li><li>mane (figuratively, &quot;thick hair&quot;)</li></ul>	en ung man	a young man	noun	en	Sidan 14	Kapitel_1 Rivstart_A1_A2
de, prounoun	de	<ul><li>it, he, she</li><li>that</li></ul>			prounoun		Sidan 11	Kapitel_1 Rivstart_A1_A2
de, prounoun	de	<ul><li>it, he, she</li><li>that</li></ul>			prounoun		Sidan 11	Kapitel_1 Rivstart_A1_A2
få, verb	få	<ul><li>receive, get</li><li>may</li><li>have to</li></ul>	få en helt annan uppfattning	get a completely different impression	verb	att	Sidan 24	Kapitel_2 Rivstart_A1_A2
få, adjective	få	<ul><li>few</li></ul>	några få platser	a few seats	adjective		Sidan 24	Kapitel_2 Rivstart_A1_A2
så, adverb	så	<ul><li>so, thus</li><li>so</li><li>so (mostly used colloquially)</li></ul>	så kan det gå!	that&#39;s how it can turn out!	adverb		Sidan 18	Kapitel_2 Rivstart_A1_A2
han, prounoun	han	<ul><li>he (indicates a male individual)</li></ul>	jag såg honom igår	I saw him yesterday	prounoun		Sidan 11	Kapitel_1 Rivstart_A1_A2
bli, verb	bli	<ul><li>become, get, be</li></ul>	bli lärare	become a teacher	verb	att	Sidan 20	Kapitel_2 Rivstart_A1_A2
komma, verb	komma	<ul><li>arrive, come</li><li>come (from)</li><li>will, be going to (only used in the phrase &quot;will&quot; &quot;(=shall)&quot;)</li><li>arouse, prompt</li></ul>	kommande år	coming years	verb	att	Sidan 09	Kapitel_1 Rivstart_A1_A2
eller, conjunction	eller	<ul><li>or (indicates alternatives)</li></ul>	en mer eller mindre spelar ingen roll	one more or less doesn&#39;t matter	conjunction		Sidan 08	Kapitel_1 Rivstart_A1_A2
från, preposition	från	<ul><li>from (refers to a starting point in time and space)</li><li>from (states origin or extraction)</li><li>from (separating)</li></ul>	från den nionde januari	from January 9th	preposition		Sidan 09	Kapitel_1 Rivstart_A1_A2
mycket, adverb	mycket	<ul><li>very much, greatly</li></ul>	det finns mycket mer att säga	there is much more to say	adverb		Sidan 28	Kapitel_3 Rivstart_A1_A2
mycket, adjective	mycket	<ul><li>much (non-neutral forms somewhat formal)</li></ul>	mycket mat	a great amount of food	adjective		Sidan 28	Kapitel_3 Rivstart_A1_A2
vilja, verb	vilja	<ul><li>want (also downtoned in exhortations)</li></ul>	vill du skicka mig saltet?	would you pass me the salt, please?	verb	att	Sidan 36	Kapitel_4 Rivstart_A1_A2
vilja, noun	vilja	<ul><li>will</li></ul>	viljan att lära sig något	the will to learn sth.	noun	en	Sidan 36	Kapitel_4 Rivstart_A1_A2
göra, verb	göra	<ul><li>do</li><li>make</li><li>cause, make</li></ul>	vad gör du?	what are you doing?	verb	att	Sidan 12	Kapitel_1 Rivstart_A1_A2
annan, prounoun	annan	<ul><li>another, other</li><li>different, distinct; additional, further</li></ul>	med andra ord	in other words	prounoun		Sidan 17	Kapitel_1 Rivstart_A1_A2
ta, verb	ta	<ul><li>take, grab (also used figuratively)</li><li>touch</li><li>take</li><li>take, bring</li><li></li></ul>	ta tag i spaken!	grab the controls!	verb	att	Sidan 31	Kapitel_3 Rivstart_A1_A2
när, adverb	när	<ul><li>when (in questions)</li><li>near (in phrases)</li></ul>	när kommer tåget?	when is the train due?	adverb		Sidan 28	Kapitel_3 Rivstart_A1_A2
se, verb	se	<ul><li>notice, watch, see</li><li>see, look</li><li>view, perceive, see</li></ul>	se på film	watch a film	verb	att	Sidan 10	Kapitel_1 Rivstart_A1_A2
måste, verb	måste	<ul><li>must</li><li>must (indicates probability)</li></ul>	jag måste ge mig iväg nu	now I must be off	verb		Sidan 36	Kapitel_4 Rivstart_A1_A2
måste, noun	måste	<ul><li>must</li></ul>	det är ett måste	it&#39;s a must	noun	ett	Sidan 36	Kapitel_4 Rivstart_A1_A2
stor, adjective	stor	<ul><li>large, big (of age &quot;grown-up, adult&quot;)</li><li>great</li></ul>	besvikelsen var stor	it was a great disappointment	adjective		Sidan 31	Kapitel_3 Rivstart_A1_A2
nu, adverb	nu	<ul><li>now</li><li>now (in a vague sense &quot;thus, accordingly&quot;)</li></ul>	just nu	just now	adverb		Sidan 12	Kapitel_1 Rivstart_A1_A2
gå, verb	gå	<ul><li>go, walk</li><li>run, progress, work</li><li>leave, begin</li><li>play, show, run</li><li>contain, comprise</li></ul>	han har gått	he has left	verb	att	Sidan 19	Kapitel_2 Rivstart_A1_A2
säga, verb	säga	<ul><li>say</li></ul>	säga nej till kärnkraft	say no to nuclear power	verb	att	Sidan 11	Kapitel_1 Rivstart_A1_A2
vad, prounoun	vad	<ul><li>what (used in questions)</li><li>what</li></ul>	vad är klockan?	what time is it?	prounoun		Sidan 09	Kapitel_1 Rivstart_A1_A2
vad, adverb	vad	<ul><li>how (in exclamations, to denote a high degree)</li></ul>	vad snällt av dig!	how kind of you!	adverb		Sidan 09	Kapitel_1 Rivstart_A1_A2
år, noun	år	<ul><li>year</li></ul>	år 2000	the year 2000	noun	ett	Sidan 14	Kapitel_1 Rivstart_A1_A2
under, preposition	under	<ul><li>beneath, under, below</li><li>beneath, under</li><li>during</li><li>under, in (of the circumstances surrounding something that is taking place)</li><li>positioned below, positioned inside</li></ul>	sitta under ett träd	sit under a tree	preposition		Sidan 32	Kapitel_3 Rivstart_A1_A2
betyda, verb	betyda	<ul><li>imply, signify, mean</li></ul>	pensioneringen betyder inte att jag slutar arbeta	just because I have retired doesn&#39;t mean that I intend to stop working	verb	att	Sidan 47	Kapitel_5 Rivstart_A1_A2
också, adverb	också	<ul><li>too, also</li></ul>	inte bara jag utan också min fru spelar fiol	I play the violin and my wife does as well	adverb		Sidan 14	Kapitel_1 Rivstart_A1_A2
då, adverb	då	<ul><li>then, at that time</li><li>then</li></ul>	just då	at that time	adverb		Sidan 12	Kapitel_1 Rivstart_A1_A2
min, prounoun	min	<ul><li>min.</li><li>my</li><li>minute</li></ul>			prounoun		Sidan 14	Kapitel_1 Rivstart_A1_A2
mig, prounoun	mig	<ul><li>me, myself</li></ul>	jag satte mig på stolen	I sat myself down on the chair	prounoun		Sidan 57	Kapitel_6 Rivstart_A1_A2
mot, preposition	mot	<ul><li>against (indicates opposition)</li><li>towards, (toward [us]) (indicates direction)</li><li>for (indicates exchange)</li><li>against, compared to (indicates comparison)</li><li>to (indicates treatment)</li></ul>	kämpa mot byråkratin	combat bureaucracy	preposition		Sidan 98	Kapitel_9 Rivstart_A1_A2
bara, adverb	bara	<ul><li>merely, only, just</li></ul>	det är bara att kliva på	just walk in	adverb		Sidan 67	Kaptiel_7 Rivstart_A1_A2
vilken, prounoun	vilken	<ul><li>who, which</li><li>which</li><li>what (in exclamations)</li></ul>	vilken klass går du i?	which (what) class are you in?	prounoun		Sidan 09	Kapitel_1 Rivstart_A1_A2
ny, adjective	ny	<ul><li>new</li></ul>	ett nytt förslag	a new suggestion	adjective		Sidan 24	Kapitel_2 Rivstart_A1_A2
vid, preposition	vid	<ul><li>at (gives (approximate) spatial position)</li><li>at, about</li><li>to</li></ul>	anställd vid xxxx	employed at xxxx	preposition		Sidan 35	Kapitel_3 Rivstart_A1_A2
vid, adjective	vid	<ul><li>wide</li></ul>	en vid kjol	a wide skirt	adjective		Sidan 35	Kapitel_3 Rivstart_A1_A2
än, conjunction	än	<ul><li>than (in comparisons)</li></ul>	hon är äldre än jag/mig	she is older than me	conjunction		Sidan 131	Kapitel_12 Rivstart_A1_A2
än, adverb	än	<ul><li>yet, still</li><li>ever</li></ul>	har du inte gått än?	haven&#39;t you gone yet?	adverb		Sidan 131	Kapitel_12 Rivstart_A1_A2
ingen, prounoun	ingen	<ul><li>no one, none, nobody, nothing, noone</li></ul>	ingen av oss	none of us	prounoun		Sidan 71	Kaptiel_7 Rivstart_A1_A2
efter, preposition	efter	<ul><li>after, later</li><li>for</li></ul>	efter kriget	after the war	preposition		Sidan 31	Kapitel_3 Rivstart_A1_A2
efter, adverb	efter	<ul><li>after, next, following</li></ul>	tänka efter	consider, reflect, think	adverb		Sidan 31	Kapitel_3 Rivstart_A1_A2
upp, adverb	upp	<ul><li>up</li><li>open</li><li>towards a higher position, upwards, to a standing (erect) position (from a recumbent position), in a higher position, until something is finished</li></ul>	klättra upp i ett träd	climb (up) a tree	adverb		Sidan 19	Kapitel_2 Rivstart_A1_A2
hon, prounoun	hon	<ul><li>she (indicates a female individual)</li></ul>	jag såg henne	I saw her	prounoun		Sidan 11	Kapitel_1 Rivstart_A1_A2
lite, adverb	lite	<ul><li>slightly, little</li></ul>	lite mer ost	a bit more cheese	adverb		Sidan 18	Kapitel_2 Rivstart_A1_A2
över, preposition	över	<ul><li>above (of spatial position)</li><li>over (of the spread of something)</li><li>across (figuratively also of time)</li><li>by (way of)</li><li>over, above (of higher authority or dominant position)</li><li>about, over</li></ul>	nyckeln hänger över dörren	the key is hanging above the door	preposition		Sidan 29	Kapitel_3 Rivstart_A1_A2
över, adverb	över	<ul><li>over (direction to the other side of something)</li><li>over, more than</li><li>left</li><li>over, past</li><li>over</li></ul>	flytta över till Sverige	move over to Sweden	adverb		Sidan 29	Kapitel_3 Rivstart_A1_A2
ge, verb	ge	<ul><li>give (in a general sense, &quot;present, produce&quot;)</li><li>to present (as a gift or payment), to hand over</li></ul>	ge besked	notify	verb	att	Sidan 59	Kapitel_6 Rivstart_A1_A2
vår, prounoun	vår	<ul><li>our</li></ul>	vårt eget modersmål	our own mother tongue	prounoun		Sidan 60	Kapitel_6 Rivstart_A1_A2
vår, noun	vår	<ul><li>spring</li></ul>			noun	en	Sidan 60	Kapitel_6 Rivstart_A1_A2
här, adverb	här	<ul><li>here</li><li>at this point, with me</li></ul>	vad är det här?	what&#39;s this?	adverb		Sidan 10	Kapitel_1 Rivstart_A1_A2
skriva, verb	skriva	<ul><li>write</li></ul>	barnen lär sig skriva i skolan	children learn to write at school	verb	att	Sidan 10	Kapitel_1 Rivstart_A1_A2
tid, noun	tid	<ul><li>time (also used of a certain period)</li></ul>	tid att tänka	time to think	noun	en	Sidan 30	Kapitel_3 Rivstart_A1_A2
sedan, adverb	sedan	<ul><li>then, afterwards, later</li></ul>	först åt vi och sedan gick vi ut	we had lunch first, then we went out	adverb		Sidan 14	Kapitel_1 Rivstart_A1_A2
sedan, preposition	sedan	<ul><li>since</li></ul>	för många år sedan	many years ago	preposition		Sidan 14	Kapitel_1 Rivstart_A1_A2
riva, verb	riva	<ul><li>scratch (particularly with claws, nails etc.; of animals, also &quot;kill&quot;)</li><li>tear, grate</li><li>pull (tear) down, demolish</li><li>tear up and divide up,tear up and  share out,</li></ul>	katten rev mig	the cat scratched (clawed) me	verb	att	Sidan 45	Kapitel_4 Rivstart_A1_A2
börja, verb	börja	<ul><li>begin, start, commence</li></ul>	du kan börja med att klippa gräset	you can start by mowing the lawn	verb	att	Sidan 30	Kapitel_3 Rivstart_A1_A2
dag, noun	dag	<ul><li>day</li><li>the light part of the 24-hour earthly rotation; daylight, date, weekday; 24-hour period, time, period</li></ul>	natt och dag	night and day	noun	en	Sidan 19	Kapitel_2 Rivstart_A1_A2
människa, noun	människa	<ul><li>human being, person</li><li>person (in amounts)</li></ul>	den moderna människans situation	the plight of the modern man	noun	en	Sidan 139	Kaptiel_13 Rivstart_A1_A2
land, noun	land	<ul><li>land</li><li>country</li><li>plot, [garden] patch</li></ul>	land i sikte!	land ahoy!	noun	ett	Sidan 10	Kapitel_1 Rivstart_A1_A2
svensk, adjective	svensk	<ul><li>swedish</li></ul>	svensk medborgare	Swedish citizen	adjective		Sidan 14	Kapitel_1 Rivstart_A1_A2
svensk, noun	svensk	<ul><li>swedish, swede</li></ul>			noun	en	Sidan 14	Kapitel_1 Rivstart_A1_A2
fråga, noun	fråga	<ul><li>question</li><li>question, matter</li></ul>	svara på min fråga!	answer my question!	noun	en	Sidan 10	Kapitel_1 Rivstart_A1_A2
fråga, verb	fråga	<ul><li>ask</li></ul>	han frågade var jag bodde	he asked where I lived	verb	att	Sidan 10	Kapitel_1 Rivstart_A1_A2
oss, prounoun	oss	<ul><li>us</li><li>we</li></ul>			prounoun		Sidan 57	Kapitel_6 Rivstart_A1_A2
tro, verb	tro	<ul><li>believe</li><li>believe (figuratively, &quot;have strong faith (in)&quot;)</li></ul>	vi trodde att det skulle gå bra	we believed it would go well	verb	att	Sidan 23	Kapitel_2 Rivstart_A1_A2
tro, noun	tro	<ul><li>belief</li><li>faith</li></ul>	kan man sätta tro till sådana rykten?	can one trust such rumours?	noun	en	Sidan 23	Kapitel_2 Rivstart_A1_A2
tycka, verb	tycka	<ul><li>think</li><li>imagine</li></ul>	jag tycker du har fel	I think you are wrong	verb	att	Sidan 47	Kapitel_5 Rivstart_A1_A2
behöva, verb	behöva	<ul><li>want, need, require</li><li>have to, need to</li><li>be forced to</li></ul>	han behövde hjälp	he was in need of assistance	verb	att	Sidan 44	Kapitel_4 Rivstart_A1_A2
samma, prounoun	samma	<ul><li>same, similar</li></ul>	på samma sätt	in the same way	prounoun		Sidan 14	Kapitel_1 Rivstart_A1_A2
mellan, preposition	mellan	<ul><li>between (indicates a position limited in place and time)</li><li>between (indicates mutual relationship or exchange)</li></ul>	affären är öppen mellan 9 och 18	the shop is open between 9 a.m. and 6 p.m.	preposition		Sidan 31	Kapitel_3 Rivstart_A1_A2
läsa, verb	läsa	<ul><li>read (also used of reading a text aloud)</li><li>study</li></ul>	lära sig läsa	learn to read	verb	att	Sidan 10	Kapitel_1 Rivstart_A1_A2
kanske, adverb	kanske	<ul><li>perhaps, maybe</li></ul>	det spelar kanske ingen roll	maybe it doesn&#39;t matter	adverb		Sidan 23	Kapitel_2 Rivstart_A1_A2
låta, verb	låta	<ul><li>sound</li><li>allow, let</li><li>have (get) sth. [done]</li></ul>	bilen låter som en traktor	the car sounds more like a tractor	verb	att	Sidan 46	Kapitel_5 Rivstart_A1_A2
olik, adjective	olik	<ul><li>different (weaker &quot;varying, diverse&quot;)</li></ul>	på olika håll	in various quarters	adjective		Sidan 62	Kapitel_6 Rivstart_A1_A2
din, prounoun	din	<ul><li>your</li><li>belonging to you</li></ul>	är det här din bok?	is this your book?	prounoun		Sidan 35	Kapitel_3 Rivstart_A1_A2
gång, noun	gång	<ul><li>walk, path</li><li>occasion, time</li><li>run, working, walk, gait</li></ul>			noun	en	Sidan 54	Kapitel_5 Rivstart_A1_A2
visa, verb	visa	<ul><li>show</li></ul>	visa upp sin biljett	show one&#39;s ticket	verb	att	Sidan 24	Kapitel_2 Rivstart_A1_A2
visa, noun	visa	<ul><li>air, song, tune, melody</li></ul>			noun	en	Sidan 24	Kapitel_2 Rivstart_A1_A2
använda, verb	använda	<ul><li>employ, use, carry, utilize, wear</li></ul>	använda sig av en ny metod	adopt a new method	verb	att	Sidan 17	Kapitel_1 Rivstart_A1_A2
genom, preposition	genom	<ul><li>through, via</li><li>through</li><li>into at one side (of something) and out on the other; from one side to the other, with the help of, by means of; as a result of</li></ul>	resa genom Sverige	travel through Sweden	preposition		Sidan 104	Kaptiel_10 Rivstart_A1_A2
helt, adverb	helt	<ul><li>wholly, completely, entirely</li></ul>	en helt ny bil	a brand new car	adverb		Sidan 18	Kapitel_2 Rivstart_A1_A2
utan, preposition	utan	<ul><li>without</li></ul>	vara utan mat	be without food	preposition		Sidan 24	Kapitel_2 Rivstart_A1_A2
utan, conjunction	utan	<ul><li>but (states the opposite)</li></ul>	inte bara i Sverige utan också utomlands	not only in Sweden but also abroad	conjunction		Sidan 24	Kapitel_2 Rivstart_A1_A2
väl, adverb	väl	<ul><li>well (also commonly &quot;very&quot;)</li><li>too</li><li>surely</li></ul>	det är väl känt	that is well known	adverb		Sidan 18	Kapitel_2 Rivstart_A1_A2
barn, noun	barn	<ul><li>child, kid, kid (english english)</li><li>young person, esp. between infancy and youth; sby&#39;s son or daughter</li></ul>	passa barn	look after (mind) children	noun	ett	Sidan 12	Kapitel_1 Rivstart_A1_A2
ni, prounoun	ni	<ul><li>you (when addressing several people)</li><li>you (when addressing an (unknown) person; formal)</li></ul>	är ni färdiga nu?	are you (all) ready now?	prounoun		Sidan 11	Kapitel_1 Rivstart_A1_A2
viktig, adjective	viktig	<ul><li>important</li><li>stuck-up</li><li>significant</li></ul>	spela en viktig roll	play an important part	adjective		Sidan 61	Kapitel_6 Rivstart_A1_A2
liv, noun	liv	<ul><li>life</li><li>row, commotion</li><li>waist</li><li>bodice</li><li>waist-hold, waist-lock</li></ul>	ett långt liv	a long life	noun	ett	Sidan 31	Kapitel_3 Rivstart_A1_A2
deras, prounoun	deras	<ul><li>theirs, their</li><li>it, he, she</li><li>that</li></ul>			prounoun		Sidan 60	Kapitel_6 Rivstart_A1_A2
värld, noun	värld	<ul><li>world (particularly of &quot;the (planet) earth&quot;)</li><li>world</li></ul>	över hela världen	all over the world	noun	en	Sidan 132	Kaptiel_13 Rivstart_A1_A2
folk, noun	folk	<ul><li>folk, people</li><li>folk</li><li>people</li></ul>	han ville få folk att skratta	he wanted to make people laugh	noun	ett	Sidan 23	Kapitel_2 Rivstart_A1_A2
honom, prounoun	honom	<ul><li>he (indicates a male individual)</li></ul>			prounoun		Sidan 57	Kapitel_6 Rivstart_A1_A2
söka, verb	söka	<ul><li>look for, seek</li><li>seek</li><li>attempt, try</li></ul>	söka efter orsaker	look for reasons (causes)	verb	att	Sidan 12	Kapitel_1 Rivstart_A1_A2
dig, prounoun	dig	<ul><li>you (refers to the person being addressed)</li></ul>			prounoun		Sidan 57	Kapitel_6 Rivstart_A1_A2
sak, noun	sak	<ul><li>thing, article, object</li><li>question, thing, affair, matter</li><li>case, cause</li><li>especially as a legal term</li></ul>	var sak på sin plats	everything in its place	noun	en	Sidan 24	Kapitel_2 Rivstart_A1_A2
person, noun	person	<ul><li>person (often when stating number)</li></ul>	salen rymmer 10 personer		noun	en	Sidan 15	Kapitel_1 Rivstart_A1_A2
ligga, verb	ligga	<ul><li>lie (down-toned, &quot;be situated&quot;)</li></ul>	ligga i sängen	lie in bed	verb	att	Sidan 09	Kapitel_1 Rivstart_A1_A2
son, noun	son	<ul><li>son</li></ul>	han är son till vicevärden	he is a son of the caretaker	noun	en	Sidan 14	Kapitel_1 Rivstart_A1_A2
just, adverb	just	<ul><li>exactly</li></ul>	just det!	exactly!	adverb		Sidan 62	Kapitel_6 Rivstart_A1_A2
lägga, verb	lägga	<ul><li>put</li><li>place</li><li>set, lay</li></ul>	lägg boken på bordet!	put the book on the table!	verb	att	Sidan 31	Kapitel_3 Rivstart_A1_A2
kvinna, noun	kvinna	<ul><li>woman</li></ul>			noun	en	Sidan 14	Kapitel_1 Rivstart_A1_A2
problem, noun	problem	<ul><li>problem</li></ul>	ekonomiska problem	financial difficulties	noun	ett	Sidan 132	Kaptiel_13 Rivstart_A1_A2
