ögonlock (noun)	ögonlock	noun	ett	<ul><li>eyelid</li></ul>			[sound:ögonlock.mp3]	
dess (prounoun)	dess	prounoun		<ul><li>it, he, she</li><li>that</li></ul>			[sound:dess.mp3]	
dess (adverb)	dess	adverb		<ul><li>then, that time</li><li>the, the (better)</li></ul>	sedan dess har jag inte träffat honom	since then I have not met him	[sound:dess.mp3]	
å (preposition)	å	preposition		<ul><li>on (archaic except in some phrases)</li></ul>			[sound:å.mp3]	
av (preposition)	av	preposition		<ul><li>by (indicates the origin of an object or event)</li><li>at (indicates origin in time and space)</li><li>of (of materials, substances)</li><li>of, concerning, regarding</li></ul>	av en slump	by chance	[sound:av.mp3]	
analog (adjective)	analog	adjective		<ul><li>analogous (to), corresponding to, resembling, similar</li><li>analogue, (analog [us]), directly representing</li></ul>			[sound:analog.mp3]	
unna (verb)	unna	verb	att	<ul><li>wish (not begrudge)</li></ul>	unna sig en veckas semester	allow oneself a week&#39;s holiday		
sig (prounoun)	sig	prounoun		<ul><li>oneself, himself, herself, itself, themselves</li></ul>	det gick av sig själv	it happened all by itself	[sound:sig.mp3]	
sin (prounoun)	sin	prounoun		<ul><li>his, one&#39;s, her, its, theirs</li></ul>	han såg sin chans	he saw his chance	[sound:sin.mp3]	
all (prounoun)	all	prounoun		<ul><li>all</li></ul>	allt brödet	all the bread	[sound:all.mp3]	
du (prounoun)	du	prounoun		<ul><li>you (refers to the person being addressed)</li></ul>	har du hämtat boken?	have you got the book?	[sound:du.mp3]	
någon (prounoun)	någon	prounoun		<ul><li>one (in the plural &quot;a couple, some/any&quot;)</li></ul>	har du någon gång varit i Afrika?	have you ever been to Africa	[sound:någon.mp3]	
finna (verb)	finna	verb	att	<ul><li>find</li><li>find, to consider, ascertain, pronounce a judgement</li></ul>	finna lämpliga lösningar på ett problem	find suitable solutions to a problem		
detta (prounoun)	detta	prounoun		<ul><li>this, the one here</li></ul>			[sound:detta.mp3]	
äga (verb)	äga	verb	att	<ul><li>own</li></ul>	han ägde en stor förmögenhet	he had a large fortune	[sound:äga.mp3]	
där (adverb)	där	adverb		<ul><li>there</li><li>where</li></ul>	en sån där bil	a car like that	[sound:där.mp3]	
böra (verb)	böra	verb		<ul><li>ought to, should (indicates suitability)</li><li>should, indicates expectation</li></ul>	tilläggas bör att han var tysk till nationaliteten	it should also be noted that his nationality was German		
hur (adverb)	hur	adverb		<ul><li>how (used in questions), in what manner; to what extent</li></ul>	hur mår du?	how are you?	[sound:hur.mp3]	
ut (adverb)	ut	adverb		<ul><li>out</li><li>out, all over</li></ul>	rusa ut på gatan	dash out into the street		
bra (adjective)	bra	adjective		<ul><li>good, excellent, fine</li></ul>			[sound:bra.mp3]	
bra (adverb)	bra	adverb		<ul><li>excellently, well</li></ul>	jag mår bra	I&#39;m fine	[sound:bra.mp3]	
denna (prounoun)	denna	prounoun		<ul><li>this, the one here</li></ul>	dessa böcker	these books	[sound:denna.mp3]	
in (adverb)	in	adverb		<ul><li>into</li></ul>	stig in!	come in!	[sound:in.mp3]	
del (noun)	del	noun	en	<ul><li>part, a component of a whole</li></ul>	motorns delar		[sound:del.mp3]	
även (adverb)	även	adverb		<ul><li>too, even, also</li></ul>	jag tänker gå ut även om det regnar	I intend to go out even though it is raining	[sound:även.mp3]	
ju (adverb)	ju	adverb		<ul><li>of course, why</li><li>the...the</li></ul>	det var ju roligt att höra	that was good news	[sound:ju.mp3]	
te sig (verb)	te sig	verb	att	<ul><li>appear, seem</li></ul>	skilsmässa ter sig som den enda utvägen	divorce appears to be the only way out		
hel (adjective)	hel	adjective		<ul><li>full, whole, entire, complete, undivided, complete</li><li>whole, entire, undamaged</li></ul>			[sound:hel.mp3]	
kommentar (noun)	kommentar	noun	en	<ul><li>commentary</li></ul>			[sound:kommentar.mp3]	
veta (verb)	veta	verb	att	<ul><li>know</li></ul>	jag vet inte när hon kommer	I don&#39;t know when she is coming		
försöka (verb)	försöka	verb	att	<ul><li>try, attempt</li></ul>	han försöker visa vad han kan	he tries to show what he can do		
känna (verb)	känna	verb	att	<ul><li>sense, feel</li><li>know</li><li>feel</li></ul>	känna sig missnöjd	feel dissatisfied		
ro (verb)	ro	verb	att	<ul><li>row</li></ul>			[sound:ro.mp3]	
ro (noun)	ro	noun		<ul><li>peace, calm</li></ul>	lugn och ro	peace and quiet	[sound:ro.mp3]	
lik (adjective)	lik	adjective		<ul><li>like, alike</li></ul>			[sound:lik.mp3]	
lik (noun)	lik	noun	ett	<ul><li>corpse</li></ul>			[sound:lik.mp3]	
sådan (prounoun)	sådan	prounoun		<ul><li>such (also as a pure intensifier in exclamations)</li></ul>	Du har inte tappat mobilen i marken eller i vattnet eller något sådant.		[sound:sådan.mp3]	
sätt (noun)	sätt	noun	ett	<ul><li>way</li><li>manner</li></ul>	ett cyniskt sätt att resonera	a cynical way to argue	[sound:sätt.mp3]	
stå (verb)	stå	verb	att	<ul><li>stand (of objects, &quot;rest on (against)&quot;)</li><li>stop</li><li>be (weaker, &quot;is located, be&quot;)</li><li>stand</li></ul>	hon blev stående på gatan	she remained (paused) standing in the street		
inom (preposition)	inom	preposition		<ul><li>in, within</li><li>within (denotes temporal limitation)</li></ul>	inom landet	inside the country	[sound:inom.mp3]	
vända (verb)	vända	verb	att	<ul><li>turn ((cause to) change back to the original position or direction)</li></ul>	han var här men vände i trappan	he was here but turned back on the stairs	[sound:vända.mp3]	
hålla (verb)	hålla	verb	att	<ul><li>grasp, hold, grip</li><li>hold, keep</li><li>keep, not become destroyed or broken, be sufficiently strong</li><li>stop</li><li>hold (weaker, &quot;have&quot;), perform, arrange</li></ul>	hålla (i) en spade	hold a spade		
fler (adjective)	fler	adjective		<ul><li>more</li></ul>			[sound:fler.mp3]	
enligt (preposition)	enligt	preposition		<ul><li>according to</li></ul>	enligt alla beräkningar	according to all estimates	[sound:enligt.mp3]	
tänka (verb)	tänka	verb	att	<ul><li>imagine, think</li><li>intend</li></ul>	tänka sig	imagine		
ring (noun)	ring	noun	en	<ul><li>ring (also of ring-shaped objects)</li></ul>	sätta sig i (en) ring	sit in a ring (circle)	[sound:ring.mp3]	
viss (adjective)	viss	adjective		<ul><li>certain</li></ul>			[sound:viss.mp3]	
dock (adverb)	dock	adverb		<ul><li>yet, nevertheless, still; however, however, for all that, still</li></ul>	tåget går dock inte på torsdagar	the train does not go on Thursdays, however	[sound:dock.mp3]	
egen (adjective)	egen	adjective		<ul><li>own</li><li>odd, peculiar, strange, queer</li></ul>			[sound:egen.mp3]	
regering (noun)	regering	noun	en	<ul><li>government (also &quot;reign&quot;)</li></ul>	bilda regering	form a government	[sound:regering.mp3]	
fram (adverb)	fram	adverb		<ul><li>forward, up, out</li><li>along (in the direction of a goal)</li><li>late, later (towards a later point in time)</li><li>there</li></ul>	stiga fram	come forward, come out	[sound:fram.mp3]	
hög (adjective)	hög	adjective		<ul><li>lofty, elevated, tall, high, extending upwards for a long way above the ground</li><li>high, heavy, great, of great extent</li><li>loud, high, a high volume of sound; high-pitched</li></ul>			[sound:hög.mp3]	
hög (noun)	hög	noun	en	<ul><li>heap, pile, a quantity of things or material heaped or piled together</li></ul>	vi ville bli skådespelare hela högen		[sound:hög.mp3]	
länge (adverb)	länge	adverb		<ul><li>long</li></ul>	för länge sedan	a long time ago	[sound:länge.mp3]	
både (conjunction)	både	conjunction		<ul><li>both, not only ... (but also)</li></ul>	både framåt och bakåt	both backwards and forwards	[sound:både.mp3]	
antal (noun)	antal	noun	ett	<ul><li>quantity, number</li></ul>	ett stort antal människor	a large number (crowd) of people	[sound:antal.mp3]	
redan (adverb)	redan	adverb		<ul><li>already</li></ul>	redan 1828	as early (long ago) as 1828	[sound:redan.mp3]	
fall (noun)	fall	noun	ett	<ul><li>fall (fig: &quot;ruin, downfall, destruction&quot;)</li><li>(water)fall (british english)</li><li>case</li></ul>	ett fall från tredje våningen	a fall from the third floor	[sound:fall.mp3]	
anse (verb)	anse	verb	att	<ul><li>consider, regard, think, believe; reckon, look upon</li></ul>	jag anser att saken är utagerad	as far as I&#39;m concerned, it&#39;s all over and done with		
lag (noun)	lag	noun	ett	<ul><li>act, law</li><li>team</li><li>order, condition</li><li>liquor, marinade, liquid marinade</li></ul>	lagen om medbestämmande	Co-determination Act, law concerning right of participation in decision making	[sound:lag.mp3]	
slag (noun)	slag	noun	ett	<ul><li>category, type, kind, class, species, sort</li><li>slap, stroke, knock, hit, punch, blow</li><li>battle</li><li>lapel, cuff, turn-up</li><li>apoplexy, [apoplectic] stroke</li><li>moment, while</li></ul>	ett slags internatskola	a kind of boarding school	[sound:slag.mp3]	
åt (preposition)	åt	preposition		<ul><li>towards, to</li><li>at, to, about (states the subject of an activity)</li></ul>	gå åt andra hållet	go in the other direction	[sound:åt.mp3]	
nog (adverb)	nog	adverb		<ul><li>enough</li><li>probably (also persuasively &quot;of course&quot;)</li></ul>	nu får det vara nog	enough of that!, enough&#39;s enough!	[sound:nog.mp3]	
öka (verb)	öka	verb	att	<ul><li>increase (american english), gain, grow</li><li>increase</li></ul>	en snabbt ökande brist på bostäder	a rapidly-growing shortage of housing		
sen (adjective)	sen	adjective		<ul><li>late</li></ul>			[sound:sen.mp3]	
hos (preposition)	hos	preposition		<ul><li>with, among, at, by</li></ul>	en vanlig åsikt hos de borgerliga	a view commonly expressed by non-socialists	[sound:hos.mp3]	
skapa (verb)	skapa	verb	att	<ul><li>cause, engender, produce, give rise to, make, create</li></ul>	en tavla skapad av en amatör	a painting done by an amateur		
kapa (verb)	kapa	verb	att	<ul><li>cut [off]</li><li>hijack</li></ul>	kapa en bräda	cut a board		
samt (conjunction)	samt	conjunction		<ul><li>and (in swedish, used as a variant of &quot;och&quot; (&quot;and&quot;) at the end of a list), as well as</li></ul>	ta med vänner och bekanta samt matsäck	bring along your friends and sth. to eat	[sound:samt.mp3]	
innan (preposition)	innan	preposition		<ul><li>before</li></ul>	innan jul	before Christmas	[sound:innan.mp3]	
innan (adverb)	innan	adverb		<ul><li>until, before</li></ul>	dagen innan	the day before	[sound:innan.mp3]	
gälla (verb)	gälla	verb	att	<ul><li>pertain to, apply, concern</li><li>be valid, be in effect</li></ul>	det gäller livet	it&#39;s a matter of life and death		
bära (verb)	bära	verb	att	<ul><li>carry; wear</li></ul>	bära vatten	fetch water		
samhälle (noun)	samhälle	noun	ett	<ul><li>village, place, community</li><li>society, community</li></ul>	hon bodde i ett litet samhälle i Hälsingland	she lived in a tiny village in Hälsingland	[sound:samhälle.mp3]	
alltså (adverb)	alltså	adverb		<ul><li>in other words, accordingly, consequently, that is to say, thus, therefore</li></ul>	första året, alltså 1974, gick allting bra	during our first year, in 1974 that is to say, things went well enough	[sound:alltså.mp3]	
stat (noun)	stat	noun	en	<ul><li>state, government</li><li>government</li></ul>	brittiska staten	the British state	[sound:stat.mp3]	
innebära (verb)	innebära	verb	att	<ul><li>involve, mean, imply</li></ul>	branden innebär stora förluster för företaget	the fire represents a huge loss for the company		
möjlighet (noun)	möjlighet	noun	en	<ul><li>possibility</li></ul>	goda möjligheter till utbildning och befordran	satisfactory opportunities of education and advancement	[sound:möjlighet.mp3]	
politisk (adjective)	politisk	adjective		<ul><li>political</li></ul>			[sound:politisk.mp3]	
välja (verb)	välja	verb	att	<ul><li>choose (particularly &quot;elect&quot; &quot;appoint (by vote)&quot;)</li></ul>	välja mellan två onda ting	choose the lesser of two evils		
inlägg (noun)	inlägg	noun	ett	<ul><li>statement- comment</li></ul>			[sound:inlägg.mp3]	
ägg (noun)	ägg	noun	ett	<ul><li>egg (particularly of hens&#39; eggs as a food)</li><li>egg, ovum</li></ul>			[sound:ägg.mp3]	
så att (sn)	så att	sn		<ul><li>in order to, so that</li></ul>				
lika (adverb)	lika	adverb		<ul><li>equal</li></ul>	lika lön för lika arbete	equal pay for equal work	[sound:lika.mp3]	
hitta (verb)	hitta	verb	att	<ul><li>light on, come across, find</li></ul>	försök att hitta en orsak!	you just try to come up with a good excuse!		
tag (noun)	tag	noun	ett	<ul><li>grip (also used figuratively)</li><li>stroke</li><li>[little] while</li></ul>	tuffa tag		[sound:tag.mp3]	
leda (verb)	leda	verb	att	<ul><li>lead, conduct</li><li>lead</li></ul>	leda en person över gatan	help a person across the street	[sound:leda.mp3]	
gärna (adverb)	gärna	adverb		<ul><li>gladly, willingly</li><li>easily</li></ul>	jag kommer gärna	I&#39;d love to come	[sound:gärna.mp3]	
ändå (adverb)	ändå	adverb		<ul><li>still, yet, anyway</li></ul>	filmen var dålig men vi hade roligt ändå	the film was bad but we still enjoyed ourselves	[sound:ändå.mp3]	
lyckas (verb)	lyckas	verb	att	<ul><li>succeed</li></ul>	han lyckas med allt	he succeeds at everything	[sound:lyckas.mp3]	
dessutom (adverb)	dessutom	adverb		<ul><li>besides, moreover, in addition, furthermore</li></ul>			[sound:dessutom.mp3]	
område (noun)	område	noun	ett	<ul><li>area (figuratively also of abstract things)</li></ul>	på (el. inom) det ekonomiska området	in (or within) the economic sphere (area)	[sound:område.mp3]	
kalla (verb)	kalla	verb	att	<ul><li>summon, call (for)</li><li>call</li></ul>	kalla till sammanträde	call a meeting		
peng (noun)	peng	noun	en	<ul><li>coin (informal)</li></ul>			[sound:peng.mp3]	
väldigt (adverb)	väldigt	adverb		<ul><li>enormously (commonly used as an intensifier), very</li></ul>	väldigt glad	awfully happy	[sound:väldigt.mp3]	
leva (verb)	leva	verb	att	<ul><li>live (also figuratively)</li><li>be noisy (informal)</li></ul>	lever dina föräldrar?	are your parents still alive?		
ske (verb)	ske	verb	att	<ul><li>take place, happen, occur, come about</li></ul>	olyckan skedde vid mycket dålig sikt	visibility was extremely poor when the accident took place		
parti (noun)	parti	noun	ett	<ul><li>part</li><li>party</li><li>game</li><li>consignment</li></ul>	ett parti av boken är färdigt	a part of the book is complete	[sound:parti.mp3]	
kräva (verb)	kräva	verb	att	<ul><li>demand (also used generally, &quot;require&quot;)</li><li>claim, demand</li></ul>	kräva att alla utländska trupper dras bort	demand that all foreign troops be withdrawn		
ena (verb)	ena	verb	att	<ul><li>agree, unite, unify</li></ul>	låt oss enas om att säga nej!	let&#39;s agree to say no!	[sound:ena.mp3]	
mål (noun)	mål	noun	ett	<ul><li>goal, target</li><li>goal</li><li>meal</li><li>case, lawsuit</li><li>tongue, dialect</li></ul>	resans mål	destination	[sound:mål.mp3]	
sent (adverb)	sent	adverb		<ul><li>late</li></ul>				
ekonomisk (adjective)	ekonomisk	adjective		<ul><li>financial, economic</li><li>economical, thrifty, careful [with money], thrifty, careful with money</li></ul>			[sound:ekonomisk.mp3]	
mena (verb)	mena	verb	att	<ul><li>mean, believe</li><li>intend, mean</li></ul>	centerledaren menade att kärnkraften snarast måste avvecklas	the leader of the Centre Party advocated that nuclear power be phased out as soon as possible		
fortfarande (adverb)	fortfarande	adverb		<ul><li>still</li></ul>	är du fortfarande kvar?	are you still here?	[sound:fortfarande.mp3]	
beslut (noun)	beslut	noun	ett	<ul><li>decision, resolution, that which is decided, judgement, etc.</li></ul>	fatta beslut	come to a decision	[sound:beslut.mp3]	
enda (adjective)	enda	adjective		<ul><li>only, single</li></ul>			[sound:enda.mp3]	
möjlig (adjective)	möjlig	adjective		<ul><li>possible</li></ul>			[sound:möjlig.mp3]	
hända (verb)	hända	verb	att	<ul><li>take place, occur, happen</li></ul>	det kan hända att allt går bra	everything may, of course, turn out perfectly well		
ämna (verb)	ämna	verb	att	<ul><li>intend, mean</li></ul>	regeringen ämnar inte avgå	the government does not intend to resign		
endast (adverb)	endast	adverb		<ul><li>only</li></ul>			[sound:endast.mp3]	
vidare (adverb)	vidare	adverb		<ul><li>on</li><li>further</li></ul>	gå vidare	go on, go further (farther)	[sound:vidare.mp3]	
vidare (adjective)	vidare	adjective		<ul><li>further, more</li></ul>			[sound:vidare.mp3]	
ganska (adverb)	ganska	adverb		<ul><li>fairly, somewhat, rather, quite</li></ul>	ett ganska bra resultat	a rather good result	[sound:ganska.mp3]	
varenda (prounoun)	varenda	prounoun		<ul><li>every (informal)</li></ul>	det vet varenda människa	everyone knows that, that&#39;s common knowledge	[sound:varenda.mp3]	
istället (adverb)	istället	adverb		<ul><li>instead of, instead</li></ul>				
först (adverb)	först	adverb		<ul><li>first</li><li>at first</li></ul>	komma först i en tävling	come first in a competition	[sound:först.mp3]	
heller (adverb)	heller	adverb		<ul><li>nor, neither, either, also</li></ul>	inte heller hon fick någon kritik	she didn&#39;t come in for any criticism either	[sound:heller.mp3]	
riktigt (adverb)	riktigt	adverb		<ul><li>really</li></ul>	han är riktigt trevlig	he is really nice	[sound:riktigt.mp3]	
hand (noun)	hand	noun	en	<ul><li>hand, the terminal part of the upper limb of humans and other primates</li></ul>	sy för hand	sew by hand	[sound:hand.mp3]	
uppgift (noun)	uppgift	noun	en	<ul><li>information</li><li>task (a definite job of work)</li></ul>	enligt uppgift	according to information received	[sound:uppgift.mp3]	
beta (verb)	beta	verb	att	<ul><li>graze, browse, eat grass and vegetation</li><li>treat (seed), steep, disinfect, treat seed against diseases</li></ul>	korna betade på ängen	the cows were grazing in the meadow		
bland (preposition)	bland	preposition		<ul><li>among, amongst</li></ul>	bland annat (= bl a)	among other things	[sound:bland.mp3]	
åta sig (verb)	åta sig	verb	att	<ul><li>undertake</li></ul>	åta sig ett uppdrag	undertake an assignment, take a task upon oneself		
bland annat (adverb)	bland annat	adverb		<ul><li>among other things</li></ul>				
krig (noun)	krig	noun	ett	<ul><li>war</li></ul>	vara i krig	be at war	[sound:krig.mp3]	
val (noun)	val	noun	ett	<ul><li>whale</li><li>choice</li><li>election (by vote of candidates to an office or position of trust)</li></ul>	ett svårt val	a difficult choice	[sound:val.mp3]	
egentligen (adverb)	egentligen	adverb		<ul><li>actually, really</li></ul>	bullret är egentligen det enda som stör mig	the noise is actually the only thing that bothers me	[sound:egentligen.mp3]	
inför (preposition)	inför	preposition		<ul><li>in front of, face to face (with), before</li></ul>	känna oro inför framtiden	feel uncertain about one&#39;s future		
rätta (verb)	rätta	verb	att	<ul><li>correct</li></ul>	rätta till vecken i klänningen	adjust (straighten) the pleats in the dress	[sound:rätta.mp3]	
rätta (noun)	rätta	noun		<ul><li>court</li><li>manage, cope with, handle</li></ul>			[sound:rätta.mp3]	
flest (adjective)	flest	adjective		<ul><li>most</li></ul>			[sound:flest.mp3]	
ung (adjective)	ung	adjective		<ul><li>young</li></ul>			[sound:ung.mp3]	
tanke (noun)	tanke	noun	en	<ul><li>thought</li></ul>	boken leder tankarna till Strindberg	the book reminds one of Strindberg	[sound:tanke.mp3]	
akt (noun)	akt	noun	en	<ul><li>act, ceremony</li><li>act, a division of a play</li><li>document</li><li>attention (used in phrases)</li></ul>	hjälten dör i sista akten	the hero dies in the last act	[sound:akt.mp3]	
sista (adjective)	sista	adjective		<ul><li>last, back, final</li></ul>			[sound:sista.mp3]	
ätt (noun)	ätt	noun	en	<ul><li>family</li></ul>			[sound:ätt.mp3]	
verksamhet (noun)	verksamhet	noun	en	<ul><li>activity (also commonly &quot;function, operation&quot;)</li></ul>	vara i full verksamhet	be in full swing	[sound:verksamhet.mp3]	
samtidigt (adverb)	samtidigt	adverb		<ul><li>simultaneously, at the same time, concurrently</li></ul>	samtidigt som vi kom fram började det regna	just as we arrived, it began to rain	[sound:samtidigt.mp3]	
stöd (noun)	stöd	noun	ett	<ul><li>support</li></ul>	ta stöd mot väggen	support oneself against the wall	[sound:stöd.mp3]	
vem (prounoun)	vem	prounoun		<ul><li>who</li></ul>	vems bok är detta?		[sound:vem.mp3]	
betala (verb)	betala	verb	att	<ul><li>pay (also used figuratively, &quot;be responsible for&quot;), give money in compensation for; meet expenses</li></ul>	har du betalt räkningen?	have you settled the bill?		
kommun (noun)	kommun	noun	en	<ul><li>municipality</li></ul>			[sound:kommun.mp3]	
resultat (noun)	resultat	noun	ett	<ul><li>result (in exams or competitions, also &quot;feat, performance&quot;)</li></ul>	ett lysande resultat	a brilliant result	[sound:resultat.mp3]	
utveckla (verb)	utveckla	verb	att	<ul><li>develop (also figuratively, &quot;explain in more detail, expound&quot;), elaborate, improve, expand, increase</li></ul>	utveckla produktionen	develop production		
föra (verb)	föra	verb	att	<ul><li>transport</li><li>lead, conduct, lead, direct, rule</li></ul>	föra olja från Persiska viken	transport oil from the Persian Gulf		
särskilt (adverb)	särskilt	adverb		<ul><li>particularly, especially</li></ul>	alla klarade skrivningen bra, särskilt flickorna	everyone, especially the girls, did well in the examination (the written text)	[sound:särskilt.mp3]	
debatt (noun)	debatt	noun	en	<ul><li>debate, exchange of ideas; discussion</li></ul>	livlig (el. intensiv) debatt	lively (or intense) debate	[sound:debatt.mp3]	
europeisk (adjective)	europeisk	adjective		<ul><li>european</li></ul>			[sound:europeisk.mp3]	
orm (noun)	orm	noun	en	<ul><li>snake</li></ul>			[sound:orm.mp3]	
råd (noun)	råd	noun	ett	<ul><li>advice</li><li>council</li><li>resources, sufficient</li></ul>	råd och hjälp	advice and help	[sound:råd.mp3]	
makt (noun)	makt	noun		<ul><li>power</li><li>nation, state</li></ul>	komma till makten	come into power	[sound:makt.mp3]	
kvar (adverb)	kvar	adverb		<ul><li>left</li></ul>	stanna kvar i Malmö	remain in Malmö	[sound:kvar.mp3]	
tidig (adjective)	tidig	adjective		<ul><li>early</li></ul>			[sound:tidig.mp3]	
åtgärd (noun)	åtgärd	noun	en	<ul><li>measure, procedure</li></ul>	förebyggande åtgärder	preventive measures	[sound:åtgärd.mp3]	
krav (noun)	krav	noun	ett	<ul><li>demand, requirement</li></ul>	ställa krav på en bättre service	demand better service	[sound:krav.mp3]	
skillnad (noun)	skillnad	noun	en	<ul><li>distinction, divergence, difference, disparity</li><li>difference, discrepancy, variance</li></ul>	det är en stor skillnad mellan pojkars och flickors rökvanor	there is a big difference between boys&#39; and girls&#39; smoking habits	[sound:skillnad.mp3]	
riksdag (noun)	riksdag	noun	en	<ul><li>riksdag, parliament</li></ul>	majoritet i riksdagen	majority in the Riksdag (Parliament)	[sound:riksdag.mp3]	
internationell (adjective)	internationell	adjective		<ul><li>international</li></ul>			[sound:internationell.mp3]	
nationell (adjective)	nationell	adjective		<ul><li>national</li></ul>			[sound:nationell.mp3]	
klara (verb)	klara	verb	att	<ul><li>take care of, get done</li></ul>	klara (av) ekonomin	manage financially		
kring (preposition)	kring	preposition		<ul><li>around</li></ul>	en lön kring 35 kronor i timmen	a wage around 35 kronor per hour	[sound:kring.mp3]	
medium (noun)	medium	noun	ett	<ul><li>medium</li><li>medium (of clothing sizes)</li></ul>			[sound:medium.mp3]	
låg (adjective)	låg	adjective		<ul><li>low</li></ul>			[sound:låg.mp3]	
ansvar (noun)	ansvar	noun	ett	<ul><li>responsibility, liability, accountability; obligation to accept blame (if sth. goes wrong)</li></ul>	ta ansvar för ett beslut	accept responsibility for a decision	[sound:ansvar.mp3]	
regel (noun)	regel	noun	en	<ul><li>rule</li><li>custom</li><li>bolt</li></ul>	reglerna för bostadsbidrag har ändrats	the rules for housing benefits have been altered	[sound:regel.mp3]	
medlem (noun)	medlem	noun	en	<ul><li>member</li></ul>	bli medlem i Turistföreningen	become a member of the Swedish Touring Club	[sound:medlem.mp3]	
anmäla (verb)	anmäla	verb	att	<ul><li>report, announce, notify, give notice of</li><li>review</li></ul>	har du anmält dej till kursen?	have you registered for the course?		
nå (verb)	nå	verb	att	<ul><li>reach (of things, &quot;stretch (to)&quot;)</li><li>reach</li></ul>	jag når inte väskan på hyllan	I cannot reach the bag on the shelf	[sound:nå.mp3]	
stämma (verb)	stämma	verb	att	<ul><li>agree, correspond, tally, add up, be in accordance with, be consistent with</li><li>tune</li><li>summons</li><li>arrange</li></ul>	det stämmer precis	that is exactly right	[sound:stämma.mp3]	
stämma (noun)	stämma	noun	en	<ul><li>voice</li><li>pitch, part</li><li>assembly, meeting</li></ul>	hon talade med bruten stämma	she spoke in a broken voice	[sound:stämma.mp3]	
